Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
Matthew De Boer,7.0,17.0,24.0,6.0,0.0,2.0,1.0,0.0,2.0,4.0,1.0,3.0,0.0,1.0,3.0,9.0,16.0,18.0,75.0,2.0,1.0,0.0,0.0,0.0,1.0,12.0,272.0,2.0,1.0,0.0,88.0,1,0
Heath Shaw,16.0,7.0,23.0,8.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,7.0,1.0,0.0,5.0,17.0,16.0,69.6,0.0,0.0,6.0,5.0,0.0,1.0,6.0,518.0,3.0,7.0,0.0,90.0,1,0
Callan Ward,9.0,12.0,21.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,5.0,0.0,3.0,5.0,10.0,11.0,19.0,90.5,0.0,0.0,0.0,2.0,3.0,1.0,8.0,330.0,2.0,4.0,1.0,81.0,1,0
Tim Taranto,11.0,7.0,18.0,4.0,1.0,2.0,6.0,0.0,0.0,4.0,5.0,4.0,3.0,1.0,2.0,11.0,9.0,10.0,55.6,0.0,1.0,3.0,0.0,1.0,4.0,7.0,247.0,2.0,3.0,0.0,83.0,1,0
Jacob Hopper,11.0,6.0,17.0,3.0,1.0,0.0,3.0,0.0,0.0,4.0,3.0,4.0,0.0,2.0,2.0,7.0,11.0,11.0,64.7,0.0,1.0,0.0,0.0,1.0,2.0,8.0,313.0,4.0,0.0,0.0,83.0,1,0
Phil Davis,10.0,5.0,15.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,5.0,2.0,1.0,6.0,8.0,13.0,86.7,1.0,0.0,6.0,0.0,0.0,0.0,3.0,125.0,2.0,6.0,0.0,97.0,1,0
Samuel Reid,5.0,10.0,15.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,2.0,8.0,10.0,9.0,60.0,0.0,1.0,3.0,1.0,0.0,0.0,5.0,163.0,4.0,3.0,0.0,85.0,1,0
Nick Haynes,13.0,1.0,14.0,9.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,6.0,0.0,0.0,1.0,14.0,11.0,78.6,1.0,0.0,4.0,2.0,0.0,0.0,4.0,324.0,2.0,3.0,0.0,85.0,1,0
Harrison Himmelberg,8.0,6.0,14.0,6.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,4.0,10.0,9.0,64.3,1.0,2.0,2.0,0.0,0.0,1.0,5.0,250.0,1.0,2.0,0.0,74.0,1,0
Ryan Griffen,10.0,3.0,13.0,2.0,2.0,1.0,1.0,0.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,3.0,10.0,7.0,53.8,0.0,1.0,0.0,0.0,0.0,0.0,4.0,223.0,6.0,0.0,0.0,76.0,1,0
Zac Langdon,5.0,8.0,13.0,4.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,2.0,4.0,8.0,13.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,241.0,1.0,2.0,1.0,77.0,1,0
Dawson Simpson,4.0,7.0,11.0,1.0,0.0,0.0,6.0,21.0,0.0,1.0,4.0,2.0,1.0,1.0,1.0,8.0,4.0,10.0,90.9,1.0,0.0,3.0,0.0,2.0,2.0,5.0,114.0,1.0,2.0,1.0,66.0,1,0
Aidan Corr,5.0,6.0,11.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,5.0,7.0,8.0,72.7,1.0,0.0,2.0,0.0,0.0,0.0,3.0,97.0,0.0,5.0,0.0,79.0,1,0
Jonathon Patton,7.0,3.0,10.0,8.0,3.0,2.0,0.0,5.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,6.0,7.0,7.0,70.0,1.0,5.0,7.0,0.0,1.0,0.0,7.0,265.0,1.0,3.0,0.0,78.0,1,0
Adam Tomlinson,6.0,4.0,10.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,6.0,5.0,9.0,90.0,0.0,0.0,2.0,0.0,0.0,3.0,5.0,225.0,1.0,1.0,1.0,84.0,1,0
Jeremy Cameron,7.0,2.0,9.0,4.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,7.0,7.0,77.8,1.0,2.0,1.0,0.0,0.0,0.0,7.0,132.0,1.0,0.0,1.0,86.0,1,0
Jeremy Finlayson,4.0,4.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,2.0,3.0,6.0,6.0,75.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,169.0,0.0,3.0,0.0,73.0,1,0
Sam Taylor,2.0,6.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,6.0,2.0,7.0,87.5,0.0,0.0,6.0,0.0,0.0,0.0,1.0,38.0,0.0,7.0,0.0,84.0,1,0
