Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
Dylan Grimes,8.0,3.0,11.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,4.0,8.0,7.0,63.6,0.0,0.0,5.0,0.0,0.0,0.0,1.0,203.0,1.0,5.0,0.0,100.0,0,0
Josh Caddy,6.0,5.0,11.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,3.0,5.0,1.0,0.0,2.0,10.0,3.0,6.0,54.5,0.0,0.0,0.0,0.0,0.0,3.0,3.0,106.0,3.0,4.0,0.0,82.0,0,0
Derek E-Smith,6.0,5.0,11.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,4.0,2.0,8.0,5.0,45.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,208.0,6.0,1.0,0.0,64.0,0,0
Jake Aarts,6.0,4.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,3.0,4.0,7.0,8.0,80.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,147.0,4.0,0.0,0.0,86.0,0,0
Liam Baker,6.0,3.0,9.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,7.0,7.0,77.8,0.0,0.0,2.0,0.0,0.0,0.0,0.0,150.0,3.0,2.0,0.0,79.0,0,0
Tom Lynch,6.0,2.0,8.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,8.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,125.0,1.0,0.0,0.0,88.0,0,0
Mabior Chol,5.0,3.0,8.0,2.0,2.0,0.0,0.0,7.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,6.0,4.0,5.0,62.5,1.0,2.0,2.0,0.0,0.0,1.0,6.0,166.0,0.0,1.0,0.0,57.0,0,0
Marlion Pickett,2.0,6.0,8.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,4.0,5.0,6.0,75.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,181.0,1.0,0.0,0.0,82.0,0,0
Sydney Stack,1.0,7.0,8.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,4.0,5.0,8.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,68.0,0.0,1.0,0.0,76.0,0,0
Jack Riewoldt,7.0,0.0,7.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,3.0,42.9,1.0,1.0,1.0,0.0,0.0,0.0,4.0,108.0,0.0,3.0,0.0,86.0,0,0
Ivan Soldo,4.0,3.0,7.0,2.0,0.0,1.0,1.0,29.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,5.0,71.4,0.0,0.0,3.0,0.0,0.0,1.0,3.0,24.0,0.0,5.0,0.0,72.0,0,0
Nathan Broad,5.0,2.0,7.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,6.0,85.7,0.0,0.0,2.0,0.0,0.0,1.0,0.0,175.0,3.0,2.0,0.0,93.0,0,0
Noah Balta,4.0,3.0,7.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,1.0,6.0,3.0,42.9,0.0,0.0,6.0,0.0,0.0,0.0,1.0,107.0,3.0,1.0,0.0,97.0,0,0
Jason Castagna,2.0,3.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0,3.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0,4.0,2.0,1.0,79.0,0,0
Kane Lambert,2.0,3.0,5.0,0.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,4.0,80.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,90.0,1.0,2.0,1.0,92.0,0,0
