Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes
Trent McKenzie,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,1,Home,0
Edward Curnow,14.0,16.0,30.0,6.0,0.0,0.0,4.0,0.0,0.0,5.0,2.0,6.0,2.0,1.0,3.0,13.0,18.0,24.0,80.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,428.0,7.0,9.0,0.0,88.0,0,Away,0
Jacob Weitering,17.0,9.0,26.0,9.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,5.0,2.0,0.0,10.0,15.0,21.0,80.8,3.0,0.0,6.0,1.0,0.0,0.0,3.0,457.0,4.0,9.0,0.0,88.0,0,Away,0
Kade Simpson,11.0,12.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,2.0,6.0,17.0,19.0,82.6,0.0,0.0,3.0,0.0,0.0,1.0,3.0,386.0,4.0,5.0,0.0,92.0,0,Away,0
Matthew Wright,11.0,12.0,23.0,4.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,13.0,9.0,16.0,69.6,0.0,0.0,1.0,0.0,0.0,1.0,3.0,163.0,2.0,6.0,1.0,86.0,0,Away,0
Patrick Cripps,9.0,14.0,23.0,1.0,1.0,1.0,8.0,1.0,0.0,3.0,8.0,6.0,0.0,3.0,4.0,13.0,9.0,15.0,65.2,0.0,0.0,1.0,0.0,4.0,4.0,3.0,154.0,4.0,3.0,0.0,82.0,0,Away,0
Sam Docherty,11.0,11.0,22.0,8.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,2.0,8.0,1.0,2.0,6.0,18.0,19.0,86.4,0.0,0.0,6.0,0.0,0.0,1.0,1.0,362.0,3.0,8.0,1.0,89.0,0,Away,0
Bryce Gibbs,10.0,11.0,21.0,6.0,0.0,0.0,5.0,0.0,0.0,4.0,1.0,2.0,3.0,0.0,1.0,4.0,20.0,18.0,85.7,0.0,0.0,2.0,0.0,1.0,0.0,2.0,275.0,5.0,0.0,0.0,85.0,0,Away,0
Sam Kerridge,11.0,10.0,21.0,4.0,0.0,1.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,0.0,1.0,6.0,16.0,14.0,66.7,0.0,1.0,1.0,0.0,0.0,1.0,5.0,273.0,5.0,2.0,0.0,92.0,0,Away,0
Marc Murphy,11.0,9.0,20.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,5.0,0.0,1.0,1.0,7.0,11.0,11.0,55.0,0.0,0.0,1.0,5.0,1.0,1.0,3.0,368.0,4.0,3.0,0.0,74.0,0,Away,0
Nicholas Graham,10.0,10.0,20.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,18.0,19.0,95.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,216.0,2.0,1.0,0.0,88.0,0,Away,0
Ciaran Byrne,10.0,10.0,20.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,14.0,13.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,275.0,4.0,5.0,0.0,78.0,0,Away,0
Zach Tuohy,14.0,5.0,19.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,6.0,1.0,1.0,4.0,12.0,12.0,63.2,0.0,0.0,2.0,0.0,0.0,0.0,2.0,511.0,7.0,5.0,0.0,80.0,0,Away,0
Dale Thomas,8.0,9.0,17.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,13.0,11.0,64.7,0.0,0.0,1.0,0.0,0.0,1.0,1.0,184.0,2.0,1.0,0.0,84.0,0,Away,0
Mark Whiley,8.0,8.0,16.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,10.0,11.0,68.8,0.0,0.0,0.0,0.0,1.0,0.0,2.0,61.0,2.0,0.0,0.0,66.0,0,Away,0
Blaine Boekhorst,7.0,6.0,13.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,9.0,7.0,53.8,0.0,1.0,0.0,1.0,0.0,0.0,1.0,92.0,3.0,2.0,1.0,80.0,0,Away,0
Michael Jamison,5.0,7.0,12.0,4.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,10.0,10.0,83.3,1.0,0.0,5.0,0.0,0.0,0.0,1.0,246.0,2.0,1.0,0.0,81.0,0,Away,0
Matthew Kreuzer,5.0,6.0,11.0,1.0,0.0,0.0,3.0,23.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,6.0,6.0,8.0,72.7,0.0,0.0,0.0,1.0,0.0,1.0,2.0,52.0,2.0,1.0,0.0,75.0,0,Away,0
Dylan Buckley,4.0,7.0,11.0,2.0,0.0,1.0,2.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,3.0,8.0,6.0,54.5,0.0,0.0,0.0,0.0,0.0,1.0,5.0,128.0,1.0,0.0,0.0,73.0,0,Away,0
Charlie Curnow,7.0,3.0,10.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,8.0,5.0,50.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,205.0,4.0,0.0,0.0,64.0,0,Away,0
Levi Casboult,6.0,3.0,9.0,5.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,5.0,4.0,4.0,44.4,2.0,3.0,1.0,0.0,0.0,0.0,4.0,84.0,2.0,0.0,1.0,87.0,0,Away,0
Sam Rowe,4.0,4.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,3.0,4.0,6.0,75.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,59.0,0.0,4.0,0.0,96.0,0,Away,0
Andrew Phillips,1.0,4.0,5.0,2.0,0.0,0.0,4.0,11.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,2.0,5.0,100.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,19.0,1.0,0.0,1.0,72.0,0,Away,0
