Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes
Scott Jones,7.0,7.0,14.0,2.0,0.0,0.0,4.0,24.0,0.0,1.0,5.0,5.0,1.0,3.0,2.0,11.0,6.0,8.0,57.1,1.0,0.0,3.0,0.0,2.0,3.0,2.0,68.0,4.0,2.0,0.0,87.0,0,Away,0
Brandon Matera,6.0,7.0,13.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,3.0,2.0,0.0,1.0,9.0,4.0,8.0,61.5,1.0,0.0,1.0,0.0,1.0,0.0,5.0,135.0,5.0,3.0,0.0,71.0,0,Away,0
Griffin Logue,8.0,5.0,13.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,6.0,6.0,10.0,76.9,2.0,0.0,8.0,0.0,0.0,0.0,2.0,179.0,3.0,8.0,0.0,100.0,0,Away,0
Joel Hamling,8.0,4.0,12.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,10.0,11.0,91.7,1.0,0.0,5.0,0.0,0.0,0.0,2.0,142.0,1.0,3.0,0.0,100.0,0,Away,0
Sam Switkowski,3.0,9.0,12.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,2.0,4.0,0.0,3.0,0.0,10.0,2.0,7.0,58.3,0.0,0.0,1.0,1.0,1.0,1.0,5.0,113.0,2.0,2.0,2.0,73.0,0,Away,0
Connor Blakely,6.0,4.0,10.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,4.0,7.0,6.0,60.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,120.0,2.0,1.0,0.0,74.0,0,Away,0
Hugh Dixon,4.0,4.0,8.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,2.0,5.0,62.5,1.0,0.0,2.0,0.0,0.0,0.0,3.0,91.0,1.0,3.0,0.0,88.0,0,Away,0
Cameron McCarthy,6.0,0.0,6.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,16.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,202.0,3.0,1.0,0.0,80.0,0,Away,0
Ryan Nyhuis,4.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,4.0,5.0,83.3,0.0,0.0,2.0,0.0,0.0,1.0,1.0,78.0,3.0,0.0,0.0,79.0,0,Away,0
Mitchell Crowden,3.0,3.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,3.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,88.0,3.0,1.0,0.0,65.0,0,Away,0
