Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
Heritier Lumumba,10.0,9.0,19.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,2.0,8.0,12.0,16.0,84.2,1.0,0.0,0.0,0.0,0.0,1.0,2.0,377.0,5.0,5.0,1.0,90.0,0,0
Jack Viney,10.0,9.0,19.0,2.0,0.0,0.0,11.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,1.0,6.0,14.0,10.0,52.6,1.0,0.0,0.0,0.0,2.0,1.0,3.0,219.0,4.0,1.0,2.0,85.0,0,0
Dom Tyson,7.0,10.0,17.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,7.0,1.0,0.0,4.0,6.0,12.0,11.0,64.7,0.0,0.0,0.0,0.0,0.0,3.0,2.0,180.0,4.0,0.0,0.0,71.0,0,0
Lynden Dunn,12.0,4.0,16.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,11.0,14.0,87.5,0.0,0.0,5.0,0.0,0.0,0.0,1.0,253.0,6.0,7.0,0.0,93.0,0,0
Tom McDonald,11.0,5.0,16.0,8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,7.0,9.0,15.0,93.8,2.0,1.0,10.0,2.0,0.0,0.0,3.0,307.0,3.0,7.0,0.0,93.0,0,0
Aaron Vandenberg,11.0,5.0,16.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,2.0,10.0,6.0,8.0,50.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,378.0,1.0,1.0,2.0,81.0,0,0
Jack Watts,10.0,5.0,15.0,6.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,2.0,2.0,1.0,5.0,9.0,11.0,73.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,313.0,3.0,1.0,0.0,88.0,0,0
Neville Jetta,5.0,9.0,14.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,6.0,8.0,11.0,78.6,0.0,0.0,0.0,0.0,0.0,2.0,2.0,149.0,2.0,3.0,0.0,83.0,0,0
Bernie Vince,9.0,4.0,13.0,4.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,4.0,9.0,9.0,69.2,0.0,0.0,0.0,1.0,0.0,2.0,2.0,281.0,2.0,2.0,1.0,52.0,0,0
Dean Kent,8.0,5.0,13.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,2.0,7.0,6.0,6.0,46.2,0.0,1.0,0.0,0.0,0.0,0.0,6.0,206.0,5.0,4.0,1.0,86.0,0,0
Jesse Hogan,12.0,1.0,13.0,8.0,2.0,2.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,6.0,5.0,8.0,61.5,3.0,2.0,1.0,0.0,0.0,0.0,6.0,284.0,4.0,2.0,2.0,88.0,0,0
Chris Dawes,8.0,4.0,12.0,5.0,0.0,1.0,3.0,2.0,0.0,2.0,1.0,5.0,0.0,3.0,3.0,8.0,4.0,7.0,58.3,1.0,0.0,1.0,0.0,1.0,0.0,3.0,197.0,4.0,0.0,1.0,89.0,0,0
Ben Newton,8.0,4.0,12.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,5.0,7.0,11.0,91.7,0.0,1.0,0.0,0.0,0.0,2.0,3.0,294.0,3.0,2.0,0.0,58.0,0,0
Nathan Jones,4.0,7.0,11.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,4.0,0.0,1.0,2.0,6.0,5.0,7.0,63.6,0.0,0.0,0.0,0.0,0.0,1.0,3.0,57.0,2.0,2.0,0.0,89.0,0,0
Jeremy Howe,3.0,7.0,10.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,6.0,8.0,80.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,94.0,0.0,4.0,0.0,86.0,0,0
Sam Frost,7.0,3.0,10.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,5.0,4.0,7.0,70.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,123.0,3.0,1.0,0.0,76.0,0,0
Mark Jamar,7.0,2.0,9.0,2.0,1.0,0.0,4.0,27.0,0.0,2.0,6.0,5.0,0.0,4.0,5.0,7.0,3.0,9.0,100.0,1.0,0.0,1.0,0.0,1.0,5.0,2.0,124.0,0.0,0.0,0.0,78.0,0,0
Jeff Garlett,4.0,5.0,9.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,6.0,5.0,55.6,0.0,1.0,0.0,1.0,0.0,1.0,5.0,146.0,1.0,2.0,0.0,86.0,0,0
Colin Garland,6.0,2.0,8.0,5.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,3.0,5.0,8.0,100.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,155.0,3.0,3.0,0.0,96.0,0,0
Angus Brayshaw,8.0,0.0,8.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,3.0,5.0,6.0,75.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,286.0,2.0,0.0,1.0,34.0,0,0
