Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
Will Hamill,9.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,6.0,5.0,5.0,41.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,275.0,8.0,7.0,0.0,76.0,0,0
Elliott Himmelberg,4.0,6.0,10.0,2.0,0.0,1.0,3.0,4.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,9.0,3.0,5.0,50.0,1.0,0.0,4.0,0.0,0.0,0.0,4.0,102.0,3.0,2.0,1.0,89.0,0,0
Darcy Fogarty,6.0,4.0,10.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,1.0,6.0,4.0,8.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,163.0,3.0,2.0,0.0,75.0,0,0
Jordon Butts,7.0,2.0,9.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,5.0,3.0,8.0,88.9,1.0,0.0,10.0,0.0,0.0,0.0,0.0,215.0,3.0,6.0,0.0,92.0,0,0
Sam Berry,3.0,4.0,7.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,6.0,2.0,1.0,14.3,0.0,0.0,1.0,0.0,0.0,1.0,2.0,100.0,1.0,2.0,2.0,80.0,0,0
Taylor Walker,3.0,3.0,6.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,2.0,6.0,1.0,4.0,66.7,1.0,0.0,2.0,0.0,0.0,0.0,3.0,180.0,4.0,0.0,0.0,84.0,0,0
Reilly O'Brien,3.0,3.0,6.0,0.0,0.0,0.0,8.0,28.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,50.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,24.0,2.0,2.0,0.0,88.0,0,0
Riley Thilthorpe,5.0,1.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,5.0,83.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,90.0,1.0,1.0,0.0,80.0,0,0
Lachlan Murphy,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,1.0,1.0,0.0,14.0,0,0
Ned McHenry,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47.0,0.0,1.0,0.0,10.0,0,0
