Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
Brayden Maynard,11.0,7.0,18.0,4.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,4.0,13.0,14.0,77.8,0.0,0.0,1.0,0.0,0.0,1.0,3.0,267.0,3.0,4.0,0.0,81.0,0,0
Jarryd Blair,8.0,8.0,16.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,7.0,7.0,7.0,43.8,0.0,1.0,0.0,0.0,0.0,3.0,2.0,73.0,2.0,0.0,0.0,90.0,0,0
Adam Oxley,9.0,7.0,16.0,2.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,6.0,9.0,11.0,68.8,0.0,0.0,2.0,0.0,0.0,0.0,2.0,309.0,3.0,2.0,0.0,92.0,0,0
Jordan De Goey,13.0,3.0,16.0,0.0,1.0,0.0,5.0,0.0,1.0,5.0,7.0,3.0,2.0,0.0,0.0,7.0,5.0,6.0,37.5,0.0,0.0,1.0,0.0,0.0,7.0,3.0,310.0,5.0,1.0,0.0,53.0,0,0
Jesse White,10.0,5.0,15.0,6.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,10.0,8.0,53.3,0.0,1.0,2.0,0.0,0.0,1.0,5.0,215.0,2.0,1.0,0.0,83.0,0,0
Travis Cloke,5.0,8.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,10.0,76.9,0.0,0.0,2.0,0.0,0.0,0.0,1.0,159.0,3.0,1.0,0.0,96.0,0,0
Brodie Grundy,6.0,7.0,13.0,2.0,0.0,0.0,4.0,30.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,6.0,6.0,7.0,53.8,0.0,0.0,2.0,0.0,0.0,3.0,2.0,212.0,4.0,1.0,0.0,78.0,0,0
Alex Fasolo,7.0,5.0,12.0,1.0,1.0,1.0,7.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,6.0,6.0,6.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,233.0,2.0,1.0,1.0,89.0,0,0
Alan Toovey,6.0,5.0,11.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,5.0,5.0,45.5,1.0,0.0,3.0,0.0,0.0,0.0,0.0,116.0,2.0,4.0,0.0,88.0,0,0
Timothy Broomhead,4.0,6.0,10.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,6.0,9.0,90.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,116.0,1.0,0.0,0.0,42.0,0,0
Jack Frost,3.0,7.0,10.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,4.0,7.0,7.0,70.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,151.0,2.0,4.0,0.0,81.0,0,0
Nathan Brown,2.0,7.0,9.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,3.0,7.0,5.0,55.6,0.0,0.0,6.0,0.0,0.0,0.0,0.0,99.0,1.0,3.0,0.0,90.0,0,0
Darcy Moore,3.0,6.0,9.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,5.0,4.0,6.0,66.7,0.0,0.0,9.0,0.0,0.0,0.0,0.0,73.0,3.0,5.0,0.0,81.0,0,0
Jarrod Witts,4.0,3.0,7.0,2.0,1.0,0.0,2.0,32.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,2.0,4.0,57.1,1.0,1.0,2.0,0.0,0.0,1.0,2.0,95.0,2.0,1.0,0.0,78.0,0,0
