Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
Darcy Tucker,13.0,3.0,16.0,6.0,2.0,1.0,3.0,0.0,0.0,4.0,2.0,4.0,3.0,1.0,1.0,4.0,12.0,11.0,68.8,0.0,2.0,0.0,0.0,0.0,2.0,6.0,489.0,3.0,3.0,0.0,70.0,1,1
Hayden Young,10.0,5.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,13.0,11.0,73.3,0.0,0.0,2.0,1.0,0.0,0.0,1.0,247.0,5.0,2.0,0.0,77.0,1,0
Michael Walters,7.0,7.0,14.0,5.0,2.0,0.0,3.0,0.0,0.0,2.0,2.0,5.0,0.0,1.0,2.0,9.0,6.0,9.0,64.3,2.0,2.0,0.0,1.0,1.0,1.0,4.0,133.0,3.0,1.0,1.0,85.0,1,0
Griffin Logue,8.0,6.0,14.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,9.0,5.0,13.0,92.9,2.0,0.0,6.0,0.0,0.0,0.0,3.0,131.0,1.0,7.0,0.0,94.0,1,0
Ethan Hughes,9.0,4.0,13.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,11.0,10.0,76.9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,200.0,1.0,2.0,0.0,92.0,1,0
Stephen Hill,9.0,3.0,12.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,10.0,8.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,220.0,4.0,3.0,0.0,84.0,1,0
Nathan Wilson,10.0,1.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,3.0,0.0,1.0,2.0,8.0,9.0,81.8,0.0,0.0,2.0,3.0,0.0,0.0,1.0,379.0,4.0,1.0,0.0,85.0,1,0
Sam Sturt,5.0,6.0,11.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,6.0,10.0,90.9,0.0,1.0,1.0,0.0,0.0,0.0,3.0,79.0,1.0,4.0,0.0,87.0,1,0
Reece Conca,8.0,2.0,10.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,8.0,8.0,80.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,224.0,3.0,2.0,0.0,50.0,1,0
Brett Bewley,6.0,4.0,10.0,4.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,7.0,8.0,80.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,159.0,2.0,2.0,2.0,73.0,1,0
Caleb Serong,6.0,4.0,10.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,7.0,7.0,70.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,146.0,0.0,0.0,0.0,58.0,1,0
Jesse Hogan,8.0,1.0,9.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,6.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,3.0,150.0,2.0,0.0,0.0,91.0,1,0
Rory Lobb,7.0,2.0,9.0,4.0,2.0,0.0,2.0,7.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,5.0,4.0,5.0,55.6,2.0,2.0,3.0,0.0,0.0,0.0,3.0,194.0,4.0,0.0,1.0,96.0,1,0
Taylin Duman,6.0,2.0,8.0,4.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,8.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,202.0,1.0,1.0,0.0,71.0,1,0
Lachlan Schultz,5.0,3.0,8.0,1.0,0.0,1.0,6.0,0.0,0.0,2.0,0.0,3.0,1.0,4.0,2.0,8.0,2.0,5.0,62.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,84.0,3.0,1.0,1.0,81.0,1,0
Sean Darcy,2.0,5.0,7.0,4.0,0.0,0.0,1.0,24.0,1.0,2.0,1.0,4.0,0.0,0.0,2.0,4.0,4.0,6.0,85.7,1.0,0.0,4.0,0.0,0.0,1.0,3.0,85.0,0.0,2.0,0.0,90.0,1,0
Matthew Taberner,6.0,0.0,6.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,4.0,3.0,50.0,2.0,3.0,2.0,0.0,0.0,0.0,3.0,151.0,2.0,0.0,0.0,96.0,1,0
