Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
Lee Spurr,7.0,7.0,14.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,5.0,9.0,9.0,64.3,1.0,0.0,0.0,0.0,0.0,0.0,2.0,167.0,4.0,4.0,0.0,94.0,0,0
Matthew Pavlich,9.0,4.0,13.0,5.0,3.0,0.0,2.0,0.0,1.0,5.0,0.0,2.0,0.0,1.0,0.0,5.0,8.0,10.0,76.9,1.0,2.0,0.0,0.0,0.0,0.0,5.0,393.0,5.0,0.0,2.0,88.0,0,0
Zac Dawson,2.0,10.0,12.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,7.0,11.0,91.7,0.0,0.0,7.0,0.0,0.0,0.0,2.0,78.0,1.0,10.0,1.0,88.0,0,0
Garrick Ibbotson,9.0,2.0,11.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,10.0,10.0,90.9,0.0,0.0,5.0,0.0,0.0,1.0,1.0,148.0,0.0,3.0,1.0,80.0,0,0
Christopher Mayne,5.0,5.0,10.0,5.0,2.0,0.0,7.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,8.0,8.0,80.0,1.0,2.0,1.0,0.0,1.0,0.0,6.0,168.0,2.0,1.0,1.0,88.0,0,0
Matthew Taberner,7.0,3.0,10.0,7.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,8.0,80.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,173.0,3.0,0.0,0.0,95.0,0,0
Lachlan Weller,2.0,8.0,10.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,5.0,5.0,7.0,70.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,67.0,2.0,1.0,0.0,67.0,0,0
Nicholas Suban,8.0,1.0,9.0,0.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,3.0,6.0,6.0,66.7,0.0,0.0,4.0,0.0,0.0,1.0,3.0,298.0,2.0,1.0,1.0,89.0,0,0
Darcy Tucker,2.0,6.0,8.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,5.0,7.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,2.0,3.0,1.0,59.0,0,0
Jonathon Griffin,3.0,4.0,7.0,3.0,0.0,1.0,1.0,20.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,4.0,4.0,57.1,1.0,0.0,3.0,0.0,0.0,1.0,2.0,88.0,2.0,2.0,0.0,87.0,0,0
Samuel Collins,3.0,4.0,7.0,2.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,3.0,6.0,85.7,0.0,0.0,14.0,0.0,0.0,0.0,1.0,87.0,1.0,4.0,1.0,92.0,0,0
