Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes
Patrick Dangerfield,14.0,14.0,28.0,4.0,2.0,4.0,5.0,0.0,1.0,6.0,6.0,5.0,0.0,3.0,3.0,18.0,12.0,20.0,71.4,0.0,2.0,0.0,3.0,2.0,4.0,13.0,443.0,4.0,2.0,3.0,86.0,1,Away,2
Mitchell Duncan,12.0,13.0,25.0,8.0,1.0,0.0,5.0,0.0,1.0,6.0,3.0,1.0,0.0,2.0,0.0,7.0,19.0,20.0,80.0,0.0,1.0,3.0,0.0,1.0,2.0,7.0,519.0,0.0,2.0,2.0,87.0,1,Away,0
Corey Enright,17.0,7.0,24.0,8.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,5.0,3.0,2.0,3.0,7.0,18.0,21.0,87.5,0.0,1.0,3.0,0.0,0.0,1.0,5.0,505.0,4.0,7.0,0.0,86.0,1,Away,0
Joel Selwood,9.0,14.0,23.0,3.0,0.0,1.0,9.0,1.0,1.0,5.0,3.0,1.0,1.0,3.0,1.0,11.0,14.0,20.0,87.0,0.0,1.0,1.0,0.0,1.0,2.0,4.0,284.0,4.0,4.0,1.0,83.0,1,Away,0
Steven Motlop,17.0,6.0,23.0,6.0,5.0,0.0,3.0,0.0,0.0,4.0,4.0,3.0,1.0,0.0,1.0,6.0,16.0,19.0,82.6,0.0,2.0,1.0,2.0,0.0,4.0,9.0,471.0,3.0,0.0,2.0,82.0,1,Away,3
Scott Selwood,11.0,11.0,22.0,6.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,1.0,3.0,1.0,9.0,15.0,18.0,81.8,0.0,1.0,4.0,0.0,0.0,3.0,5.0,186.0,5.0,5.0,0.0,81.0,1,Away,0
Andrew Mackie,11.0,10.0,21.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,3.0,17.0,17.0,81.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,288.0,0.0,4.0,0.0,86.0,1,Away,0
Cameron Guthrie,10.0,11.0,21.0,4.0,1.0,0.0,5.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,4.0,17.0,15.0,71.4,0.0,0.0,1.0,0.0,2.0,0.0,4.0,224.0,3.0,1.0,2.0,87.0,1,Away,0
Harry Taylor,10.0,8.0,18.0,8.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,6.0,12.0,15.0,83.3,1.0,0.0,4.0,1.0,0.0,0.0,5.0,302.0,2.0,7.0,0.0,86.0,1,Away,0
Josh Cowan,11.0,7.0,18.0,5.0,1.0,0.0,4.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,5.0,15.0,14.0,77.8,0.0,0.0,0.0,0.0,1.0,1.0,6.0,150.0,4.0,2.0,0.0,77.0,1,Away,0
Darcy Lang,12.0,6.0,18.0,4.0,0.0,1.0,3.0,0.0,0.0,3.0,2.0,4.0,1.0,0.0,2.0,6.0,14.0,8.0,44.4,0.0,0.0,0.0,0.0,0.0,2.0,3.0,286.0,5.0,1.0,1.0,88.0,1,Away,0
Mark Blicavs,7.0,10.0,17.0,3.0,1.0,0.0,3.0,6.0,0.0,1.0,3.0,2.0,1.0,2.0,1.0,7.0,10.0,11.0,64.7,0.0,0.0,3.0,0.0,0.0,3.0,2.0,178.0,1.0,4.0,1.0,87.0,1,Away,0
Jake Kolodjashnij,7.0,9.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,7.0,9.0,12.0,75.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,36.0,3.0,8.0,0.0,90.0,1,Away,0
Tom Ruggles,10.0,5.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,11.0,13.0,86.7,0.0,0.0,1.0,0.0,0.0,1.0,3.0,303.0,0.0,5.0,0.0,82.0,1,Away,0
Tom Lonergan,9.0,4.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,12.0,92.3,0.0,1.0,1.0,1.0,0.0,0.0,2.0,230.0,2.0,2.0,0.0,84.0,1,Away,0
Tom Hawkins,10.0,3.0,13.0,5.0,2.0,2.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,6.0,6.0,9.0,69.2,2.0,3.0,0.0,0.0,0.0,0.0,9.0,236.0,3.0,0.0,2.0,85.0,1,Away,0
Shane Kersten,8.0,4.0,12.0,5.0,1.0,0.0,2.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,2.0,2.0,10.0,8.0,66.7,0.0,0.0,1.0,1.0,0.0,0.0,5.0,214.0,1.0,1.0,0.0,81.0,1,Away,0
Lachlan Henderson,7.0,4.0,11.0,5.0,2.0,1.0,4.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,8.0,9.0,81.8,0.0,2.0,2.0,0.0,0.0,0.0,6.0,206.0,1.0,2.0,2.0,82.0,1,Away,0
Rhys Stanley,6.0,5.0,11.0,2.0,0.0,1.0,2.0,15.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,5.0,7.0,7.0,63.6,0.0,0.0,1.0,0.0,0.0,0.0,5.0,203.0,1.0,2.0,1.0,69.0,1,Away,0
Zac Smith,2.0,9.0,11.0,1.0,0.0,2.0,1.0,14.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,7.0,5.0,9.0,81.8,0.0,0.0,1.0,1.0,1.0,2.0,6.0,75.0,0.0,1.0,0.0,60.0,1,Away,0
Lincoln McCarthy,7.0,2.0,9.0,6.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,7.0,7.0,77.8,1.0,4.0,0.0,1.0,0.0,0.0,5.0,168.0,3.0,1.0,0.0,81.0,1,Away,0
