Method,Datatype,Use,Feature Selection Value,Feature Selection Rule,Winloss,Fold,TP0,TP0.5,TP1,TP2,TP3,Coef1,Coef2,P1,V1,P2,V2,P3,V3,P4,V4,P5,V5,P6,V6,P7,V7,P8,V8,P9,V9,P10,V10,P11,V11,P12,V12,P13,V13,P14,V14,P15,V15,P16,V16,P17,V17,P18,V18,P19,V19,P20,V20
LR,N,BT,0.2,1,In,1,0.9698583448716585,,0.17903930131004367,0.21397379912663755,0.4366812227074236,0.23298806127226634,,Oliver Wines,34,Jack Steele,33,Christian Petracca,30,Clayton Oliver,28,Darcy Parish,28,Jarryd Lyons,27,Tom Mitchell,27,Jackson Macrae,27,Marcus Bontempelli,26,Rory Laird,23,Jake Stringer,21,Cameron Guthrie,20,Touk Miller,20,Luke Parker,20,Sam Walsh,19,Dominic Sheed,19,David Mundy,19,Ben Cunnington,18,Callum Mills,17,Thomas Liberatore,17
LR,N,BT,0.2,1,In,2,0.968899776334008,,0.13100436681222707,0.1703056768558952,0.4192139737991266,0.2345091065621901,,Oliver Wines,34,Jack Steele,33,Christian Petracca,32,Tom Mitchell,29,Darcy Parish,29,Clayton Oliver,27,Marcus Bontempelli,25,Jackson Macrae,24,Rory Laird,24,Jarryd Lyons,22,Dominic Sheed,21,Jake Stringer,21,Luke Parker,20,Cameron Guthrie,19,Travis Boak,19,Sam Walsh,19,Ben Cunnington,19,Touk Miller,19,David Mundy,19,Taylor Adams,17
LR,N,BT,0.2,1,In,3,0.9697261446298674,,0.15350877192982454,0.21052631578947367,0.4473684210526316,0.2337344483383041,,Oliver Wines,34,Jack Steele,33,Christian Petracca,31,Tom Mitchell,29,Darcy Parish,29,Jackson Macrae,29,Clayton Oliver,28,Jarryd Lyons,26,Rory Laird,26,Marcus Bontempelli,25,Luke Parker,22,Touk Miller,21,Jake Stringer,21,Cameron Guthrie,20,Dominic Sheed,20,Ben Cunnington,20,Sam Walsh,19,David Mundy,19,Travis Boak,18,Taylor Adams,18
LR,N,BT,0.2,1,In,4,0.9689773213521607,,0.13157894736842105,0.19298245614035087,0.4342105263157895,0.2337581839963229,,Oliver Wines,34,Jack Steele,33,Christian Petracca,32,Tom Mitchell,29,Darcy Parish,29,Jarryd Lyons,27,Jackson Macrae,27,Clayton Oliver,26,Marcus Bontempelli,25,Rory Laird,24,Luke Parker,21,Jake Stringer,21,Cameron Guthrie,19,Sam Walsh,19,Dominic Sheed,19,Touk Miller,19,David Mundy,19,Travis Boak,18,Ben Cunnington,18,Taylor Adams,17
LR,N,BT,0.2,1,In,5,0.9712237911852802,,0.17543859649122806,0.20614035087719296,0.4254385964912281,0.23266203911576666,,Oliver Wines,35,Jack Steele,33,Christian Petracca,30,Tom Mitchell,29,Clayton Oliver,29,Darcy Parish,28,Jackson Macrae,27,Jarryd Lyons,25,Marcus Bontempelli,25,Rory Laird,24,Jake Stringer,21,Cameron Guthrie,20,Dominic Sheed,20,Touk Miller,20,Sam Walsh,19,Luke Parker,19,Travis Boak,18,Taylor Adams,18,David Mundy,18,Ben Cunnington,17
LR,N,BT,0.2,1,Out,1,0.9698583448716585,,0.17903930131004367,0.21397379912663755,0.4366812227074236,0.23298806127226634,,Oliver Wines,34,Jack Steele,33,Christian Petracca,30,Clayton Oliver,28,Darcy Parish,28,Jarryd Lyons,27,Tom Mitchell,27,Jackson Macrae,27,Marcus Bontempelli,26,Rory Laird,23,Jake Stringer,21,Cameron Guthrie,20,Touk Miller,20,Luke Parker,20,Sam Walsh,19,Dominic Sheed,19,David Mundy,19,Ben Cunnington,18,Callum Mills,17,Thomas Liberatore,17
LR,N,BT,0.2,1,Out,2,0.968899776334008,,0.13100436681222707,0.1703056768558952,0.4192139737991266,0.2345091065621901,,Oliver Wines,34,Jack Steele,33,Christian Petracca,32,Tom Mitchell,29,Darcy Parish,29,Clayton Oliver,27,Marcus Bontempelli,25,Jackson Macrae,24,Rory Laird,24,Jarryd Lyons,22,Dominic Sheed,21,Jake Stringer,21,Luke Parker,20,Cameron Guthrie,19,Travis Boak,19,Sam Walsh,19,Ben Cunnington,19,Touk Miller,19,David Mundy,19,Taylor Adams,17
LR,N,BT,0.2,1,Out,3,0.9697261446298674,,0.15350877192982454,0.21052631578947367,0.4473684210526316,0.2337344483383041,,Oliver Wines,34,Jack Steele,33,Christian Petracca,31,Tom Mitchell,29,Darcy Parish,29,Jackson Macrae,29,Clayton Oliver,28,Jarryd Lyons,26,Rory Laird,26,Marcus Bontempelli,25,Luke Parker,22,Touk Miller,21,Jake Stringer,21,Cameron Guthrie,20,Dominic Sheed,20,Ben Cunnington,20,Sam Walsh,19,David Mundy,19,Travis Boak,18,Taylor Adams,18
LR,N,BT,0.2,1,Out,4,0.9689773213521607,,0.13157894736842105,0.19298245614035087,0.4342105263157895,0.2337581839963229,,Oliver Wines,34,Jack Steele,33,Christian Petracca,32,Tom Mitchell,29,Darcy Parish,29,Jarryd Lyons,27,Jackson Macrae,27,Clayton Oliver,26,Marcus Bontempelli,25,Rory Laird,24,Luke Parker,21,Jake Stringer,21,Cameron Guthrie,19,Sam Walsh,19,Dominic Sheed,19,Touk Miller,19,David Mundy,19,Travis Boak,18,Ben Cunnington,18,Taylor Adams,17
LR,N,BT,0.2,1,Out,5,0.9712237911852802,,0.17543859649122806,0.20614035087719296,0.4254385964912281,0.23266203911576666,,Oliver Wines,35,Jack Steele,33,Christian Petracca,30,Tom Mitchell,29,Clayton Oliver,29,Darcy Parish,28,Jackson Macrae,27,Jarryd Lyons,25,Marcus Bontempelli,25,Rory Laird,24,Jake Stringer,21,Cameron Guthrie,20,Dominic Sheed,20,Touk Miller,20,Sam Walsh,19,Luke Parker,19,Travis Boak,18,Taylor Adams,18,David Mundy,18,Ben Cunnington,17
LR,N,BT,0.2,2,In,1,0.9698583448716585,,0.1703056768558952,0.2052401746724891,0.4541484716157205,0.2309333604638329,,Oliver Wines,34,Jack Steele,34,Clayton Oliver,32,Jarryd Lyons,28,Darcy Parish,26,Marcus Bontempelli,26,Rory Laird,26,Christian Petracca,25,Jackson Macrae,25,Tom Mitchell,24,Cameron Guthrie,21,Touk Miller,21,Sam Walsh,20,Luke Parker,20,Dominic Sheed,19,David Mundy,19,Thomas Liberatore,18,Taylor Adams,18,Jake Stringer,18,Travis Boak,17
LR,N,BT,0.2,2,In,2,0.9695388220257748,,0.17467248908296942,0.21397379912663755,0.4585152838427948,0.2320342844696457,,Oliver Wines,33,Jack Steele,33,Clayton Oliver,32,Darcy Parish,28,Tom Mitchell,27,Jarryd Lyons,26,Marcus Bontempelli,26,Rory Laird,26,Christian Petracca,25,Jackson Macrae,25,Sam Walsh,21,Touk Miller,21,Luke Parker,21,Thomas Liberatore,20,Ben Cunnington,20,Dominic Sheed,19,Cameron Guthrie,18,Travis Boak,18,David Mundy,18,Taylor Adams,17
LR,N,BT,0.2,2,In,3,0.9699400941377836,,0.15789473684210525,0.2850877192982456,0.4912280701754386,0.2310852444855921,,Jack Steele,34,Clayton Oliver,33,Oliver Wines,32,Jarryd Lyons,28,Darcy Parish,28,Tom Mitchell,27,Rory Laird,27,Marcus Bontempelli,26,Christian Petracca,25,Jackson Macrae,25,Cameron Guthrie,22,Sam Walsh,21,Touk Miller,21,Luke Parker,21,Thomas Liberatore,20,Dominic Sheed,20,Ben Cunnington,20,David Mundy,20,Travis Boak,19,Taylor Adams,18
LR,N,BT,0.2,2,In,4,0.9684424475823704,,0.17543859649122806,0.1973684210526316,0.4473684210526316,0.23104629621221046,,Oliver Wines,33,Jack Steele,33,Clayton Oliver,31,Jarryd Lyons,26,Tom Mitchell,26,Darcy Parish,26,Marcus Bontempelli,26,Rory Laird,26,Christian Petracca,25,Jackson Macrae,25,Touk Miller,22,Luke Parker,21,Cameron Guthrie,20,Sam Walsh,20,Ben Cunnington,19,Dominic Sheed,18,David Mundy,18,Thomas Liberatore,17,Travis Boak,17,Taylor Adams,17
LR,N,BT,0.2,2,In,5,0.9711168164313222,,0.18421052631578946,0.21052631578947367,0.4473684210526316,0.2308432225915652,,Oliver Wines,33,Jack Steele,33,Clayton Oliver,31,Tom Mitchell,27,Darcy Parish,27,Jarryd Lyons,26,Marcus Bontempelli,26,Rory Laird,26,Christian Petracca,25,Jackson Macrae,25,Touk Miller,21,Dominic Sheed,20,Sam Walsh,20,Luke Parker,20,Cameron Guthrie,19,Ben Cunnington,19,David Mundy,18,Travis Boak,17,Taylor Adams,17,Jake Stringer,17
LR,N,BT,0.2,2,Out,1,0.9698583448716585,,0.1703056768558952,0.2052401746724891,0.4541484716157205,0.2309333604638329,,Oliver Wines,34,Jack Steele,34,Clayton Oliver,32,Jarryd Lyons,28,Darcy Parish,26,Marcus Bontempelli,26,Rory Laird,26,Christian Petracca,25,Jackson Macrae,25,Tom Mitchell,24,Cameron Guthrie,21,Touk Miller,21,Sam Walsh,20,Luke Parker,20,Dominic Sheed,19,David Mundy,19,Thomas Liberatore,18,Taylor Adams,18,Jake Stringer,18,Travis Boak,17
LR,N,BT,0.2,2,Out,2,0.9695388220257748,,0.17467248908296942,0.21397379912663755,0.4585152838427948,0.2320342844696457,,Oliver Wines,33,Jack Steele,33,Clayton Oliver,32,Darcy Parish,28,Tom Mitchell,27,Jarryd Lyons,26,Marcus Bontempelli,26,Rory Laird,26,Christian Petracca,25,Jackson Macrae,25,Sam Walsh,21,Touk Miller,21,Luke Parker,21,Thomas Liberatore,20,Ben Cunnington,20,Dominic Sheed,19,Cameron Guthrie,18,Travis Boak,18,David Mundy,18,Taylor Adams,17
LR,N,BT,0.2,2,Out,3,0.9699400941377836,,0.15789473684210525,0.2850877192982456,0.4912280701754386,0.2310852444855921,,Jack Steele,34,Clayton Oliver,33,Oliver Wines,32,Jarryd Lyons,28,Darcy Parish,28,Tom Mitchell,27,Rory Laird,27,Marcus Bontempelli,26,Christian Petracca,25,Jackson Macrae,25,Cameron Guthrie,22,Sam Walsh,21,Touk Miller,21,Luke Parker,21,Thomas Liberatore,20,Dominic Sheed,20,Ben Cunnington,20,David Mundy,20,Travis Boak,19,Taylor Adams,18
LR,N,BT,0.2,2,Out,4,0.9684424475823704,,0.17543859649122806,0.1973684210526316,0.4473684210526316,0.23104629621221046,,Oliver Wines,33,Jack Steele,33,Clayton Oliver,31,Jarryd Lyons,26,Tom Mitchell,26,Darcy Parish,26,Marcus Bontempelli,26,Rory Laird,26,Christian Petracca,25,Jackson Macrae,25,Touk Miller,22,Luke Parker,21,Cameron Guthrie,20,Sam Walsh,20,Ben Cunnington,19,Dominic Sheed,18,David Mundy,18,Thomas Liberatore,17,Travis Boak,17,Taylor Adams,17
LR,N,BT,0.2,2,Out,5,0.9711168164313222,,0.18421052631578946,0.21052631578947367,0.4473684210526316,0.2308432225915652,,Oliver Wines,33,Jack Steele,33,Clayton Oliver,31,Tom Mitchell,27,Darcy Parish,27,Jarryd Lyons,26,Marcus Bontempelli,26,Rory Laird,26,Christian Petracca,25,Jackson Macrae,25,Touk Miller,21,Dominic Sheed,20,Sam Walsh,20,Luke Parker,20,Cameron Guthrie,19,Ben Cunnington,19,David Mundy,18,Travis Boak,17,Taylor Adams,17,Jake Stringer,17
LR,N,BT,0.2,3,In,1,0.9696453296410692,,0.14847161572052406,0.1921397379912664,0.445414847161572,0.23127768790264824,,Oliver Wines,34,Jack Steele,34,Clayton Oliver,31,Tom Mitchell,30,Christian Petracca,29,Darcy Parish,28,Marcus Bontempelli,27,Jackson Macrae,26,Jarryd Lyons,25,Rory Laird,25,Touk Miller,21,Cameron Guthrie,20,Dominic Sheed,20,Thomas Liberatore,19,Sam Walsh,19,Ben Cunnington,19,Luke Parker,19,David Mundy,19,Jake Stringer,19,Travis Boak,18
LR,N,BT,0.2,3,In,2,0.9681542230269464,,0.11353711790393012,0.18777292576419213,0.4366812227074236,0.2331544213346215,,Jack Steele,34,Clayton Oliver,32,Oliver Wines,32,Christian Petracca,31,Tom Mitchell,30,Darcy Parish,28,Marcus Bontempelli,27,Jackson Macrae,26,Rory Laird,25,Dominic Sheed,22,Jarryd Lyons,21,Touk Miller,21,Sam Walsh,20,Luke Parker,20,Travis Boak,19,Ben Cunnington,19,Thomas Liberatore,19,Jake Stringer,19,Cameron Guthrie,18,David Mundy,18
LR,N,BT,0.2,3,In,3,0.9696191698759092,,0.17982456140350878,0.2368421052631579,0.4649122807017544,0.23193061235500975,,Jack Steele,35,Oliver Wines,33,Tom Mitchell,32,Clayton Oliver,32,Christian Petracca,31,Darcy Parish,28,Marcus Bontempelli,28,Jackson Macrae,26,Rory Laird,26,Jarryd Lyons,23,Touk Miller,22,Luke Parker,22,Dominic Sheed,21,Cameron Guthrie,20,Thomas Liberatore,20,Travis Boak,20,Sam Walsh,20,Ben Cunnington,20,Jake Stringer,19,Callum Mills,18
LR,N,BT,0.2,3,In,4,0.9688703465982028,,0.18421052631578946,0.18859649122807015,0.4605263157894737,0.2319382182742141,,Jack Steele,34,Oliver Wines,32,Tom Mitchell,31,Clayton Oliver,31,Christian Petracca,30,Darcy Parish,28,Marcus Bontempelli,27,Jackson Macrae,26,Rory Laird,24,Touk Miller,22,Dominic Sheed,21,Cameron Guthrie,20,Jarryd Lyons,20,Sam Walsh,20,Luke Parker,20,Jake Stringer,20,Thomas Liberatore,19,Travis Boak,19,Ben Cunnington,19,David Mundy,18
LR,N,BT,0.2,3,In,5,0.970902866923406,,0.16228070175438594,0.2412280701754386,0.4473684210526316,0.2313288137975757,,Jack Steele,34,Oliver Wines,33,Clayton Oliver,32,Tom Mitchell,31,Christian Petracca,30,Darcy Parish,28,Jackson Macrae,26,Marcus Bontempelli,26,Jarryd Lyons,24,Rory Laird,24,Sam Walsh,21,Dominic Sheed,21,Touk Miller,21,Cameron Guthrie,19,Thomas Liberatore,19,Ben Cunnington,19,Luke Parker,19,Travis Boak,18,David Mundy,18,Jake Stringer,18
LR,N,BT,0.2,3,Out,1,0.9696453296410692,,0.14847161572052406,0.1921397379912664,0.445414847161572,0.23127768790264824,,Oliver Wines,34,Jack Steele,34,Clayton Oliver,31,Tom Mitchell,30,Christian Petracca,29,Darcy Parish,28,Marcus Bontempelli,27,Jackson Macrae,26,Jarryd Lyons,25,Rory Laird,25,Touk Miller,21,Cameron Guthrie,20,Dominic Sheed,20,Thomas Liberatore,19,Sam Walsh,19,Ben Cunnington,19,Luke Parker,19,David Mundy,19,Jake Stringer,19,Travis Boak,18
LR,N,BT,0.2,3,Out,2,0.9681542230269464,,0.11353711790393012,0.18777292576419213,0.4366812227074236,0.2331544213346215,,Jack Steele,34,Clayton Oliver,32,Oliver Wines,32,Christian Petracca,31,Tom Mitchell,30,Darcy Parish,28,Marcus Bontempelli,27,Jackson Macrae,26,Rory Laird,25,Dominic Sheed,22,Jarryd Lyons,21,Touk Miller,21,Sam Walsh,20,Luke Parker,20,Travis Boak,19,Ben Cunnington,19,Thomas Liberatore,19,Jake Stringer,19,Cameron Guthrie,18,David Mundy,18
LR,N,BT,0.2,3,Out,3,0.9696191698759092,,0.17982456140350878,0.2368421052631579,0.4649122807017544,0.23193061235500975,,Jack Steele,35,Oliver Wines,33,Tom Mitchell,32,Clayton Oliver,32,Christian Petracca,31,Darcy Parish,28,Marcus Bontempelli,28,Jackson Macrae,26,Rory Laird,26,Jarryd Lyons,23,Touk Miller,22,Luke Parker,22,Dominic Sheed,21,Cameron Guthrie,20,Thomas Liberatore,20,Travis Boak,20,Sam Walsh,20,Ben Cunnington,20,Jake Stringer,19,Callum Mills,18
