Method,Datatype,Use,Feature Selection Value,Feature Selection Rule,Winloss,Fold,TP0,TP0.5,TP1,TP2,TP3,Coef1,Coef2,P1,V1,P2,V2,P3,V3,P4,V4,P5,V5,P6,V6,P7,V7,P8,V8,P9,V9,P10,V10,P11,V11,P12,V12,P13,V13,P14,V14,P15,V15,P16,V16,P17,V17,P18,V18,P19,V19,P20,V20
LR(B),N,BT,0.2,1,In,1,0.9726275428693152,,0.13100436681222707,0.2576419213973799,0.5502183406113537,0.5108333214244405,,Oliver Wines,38,Clayton Oliver,38,Jack Steele,31,Christian Petracca,31,Jackson Macrae,28,Darcy Parish,28,Jarryd Lyons,27,Sam Walsh,24,Marcus Bontempelli,23,Travis Boak,22,Tom Mitchell,20,Luke Parker,20,Touk Miller,19,Dominic Sheed,18,Cameron Guthrie,17,David Mundy,17,Dayne Zorko,16,Rory Laird,16,Callum Mills,16,Ben Cunnington,16
LR(B),N,BT,0.2,1,In,2,0.9720950047928427,,0.15283842794759825,0.25327510917030566,0.5414847161572053,0.5137281688770245,,Clayton Oliver,42,Oliver Wines,39,Jack Steele,32,Christian Petracca,30,Jarryd Lyons,29,Darcy Parish,27,Marcus Bontempelli,25,Jackson Macrae,24,Sam Walsh,23,Travis Boak,23,Tom Mitchell,23,Luke Parker,22,Dominic Sheed,18,Touk Miller,18,David Mundy,17,Rory Laird,16,Cameron Guthrie,16,Ben Cunnington,16,Tim Taranto,16,Callum Mills,15
LR(B),N,BT,0.2,1,In,3,0.9733632862644416,,0.21052631578947367,0.2543859649122807,0.5263157894736842,0.5145323177900523,,Clayton Oliver,42,Oliver Wines,38,Jack Steele,32,Jarryd Lyons,30,Christian Petracca,30,Jackson Macrae,27,Travis Boak,27,Darcy Parish,27,Tom Mitchell,26,Marcus Bontempelli,24,Sam Walsh,23,Luke Parker,23,Cameron Guthrie,18,Tim Taranto,18,Dominic Sheed,18,Touk Miller,18,Rory Laird,16,Callum Mills,16,Ben Cunnington,16,David Mundy,16
LR(B),N,BT,0.2,1,In,4,0.9722935387248609,,0.17105263157894737,0.2324561403508772,0.5175438596491229,0.5219075243949118,,Oliver Wines,39,Clayton Oliver,38,Christian Petracca,32,Jack Steele,31,Jackson Macrae,28,Jarryd Lyons,27,Marcus Bontempelli,26,Darcy Parish,26,Tom Mitchell,24,Travis Boak,23,Luke Parker,20,Touk Miller,20,Sam Walsh,19,Cameron Guthrie,17,Dominic Sheed,17,Dayne Zorko,16,Ben Cunnington,16,Rory Laird,15,Callum Mills,15,Tim Taranto,14
LR(B),N,BT,0.2,1,In,5,0.972400513478819,,0.16666666666666666,0.25877192982456143,0.5131578947368421,0.517372806868369,,Clayton Oliver,39,Oliver Wines,38,Jack Steele,32,Christian Petracca,30,Jarryd Lyons,29,Marcus Bontempelli,26,Darcy Parish,26,Jackson Macrae,25,Travis Boak,24,Luke Parker,24,Sam Walsh,22,Tom Mitchell,20,Cameron Guthrie,19,Tim Taranto,18,Dominic Sheed,17,Rory Laird,16,Ben Cunnington,16,David Mundy,15,Touk Miller,15,Hugh McCluggage,14
LR(B),N,BT,0.2,2,In,1,0.9731600809457877,,0.1572052401746725,0.26200873362445415,0.5414847161572053,0.5081895152177411,,Clayton Oliver,37,Oliver Wines,36,Jack Steele,33,Christian Petracca,30,Jarryd Lyons,29,Jackson Macrae,28,Darcy Parish,28,Marcus Bontempelli,25,Sam Walsh,23,Travis Boak,20,Tom Mitchell,20,Luke Parker,20,Cameron Guthrie,19,Touk Miller,19,Rory Laird,18,Dayne Zorko,17,Callum Mills,16,Tim Taranto,16,David Mundy,16,Dominic Sheed,16
LR(B),N,BT,0.2,2,In,2,0.9722015124081372,,0.1615720524017467,0.2096069868995633,0.5240174672489083,0.5104895153614464,,Oliver Wines,40,Clayton Oliver,38,Jack Steele,32,Jarryd Lyons,31,Christian Petracca,29,Jackson Macrae,28,Darcy Parish,26,Marcus Bontempelli,25,Tom Mitchell,24,Sam Walsh,23,Luke Parker,23,Travis Boak,20,Rory Laird,19,Cameron Guthrie,18,Touk Miller,18,Ben Cunnington,17,Dominic Sheed,17,David Mundy,16,Tim Taranto,16,Dayne Zorko,15
LR(B),N,BT,0.2,2,In,3,0.9741121095421481,,0.20614035087719298,0.2850877192982456,0.5657894736842105,0.51024242031346,,Oliver Wines,42,Clayton Oliver,39,Jack Steele,32,Jarryd Lyons,30,Christian Petracca,29,Jackson Macrae,28,Tom Mitchell,26,Darcy Parish,26,Marcus Bontempelli,25,Sam Walsh,24,Luke Parker,22,Rory Laird,21,Travis Boak,19,Cameron Guthrie,19,Touk Miller,19,Callum Mills,17,Ben Cunnington,17,David Mundy,16,Dominic Sheed,16,Dayne Zorko,15
LR(B),N,BT,0.2,2,In,4,0.9722935387248609,,0.17543859649122806,0.22807017543859648,0.5175438596491229,0.5126089241835694,,Oliver Wines,41,Clayton Oliver,39,Jack Steele,33,Jarryd Lyons,29,Jackson Macrae,28,Christian Petracca,28,Darcy Parish,26,Marcus Bontempelli,25,Sam Walsh,23,Tom Mitchell,23,Travis Boak,21,Luke Parker,21,Rory Laird,19,Cameron Guthrie,19,Touk Miller,18,Callum Mills,17,Ben Cunnington,17,David Mundy,16,Dominic Sheed,16,Dayne Zorko,15
LR(B),N,BT,0.2,2,In,5,0.9720795892169448,,0.16228070175438597,0.2149122807017544,0.49122807017543857,0.5137951510676835,,Oliver Wines,38,Clayton Oliver,38,Jarryd Lyons,32,Jack Steele,32,Jackson Macrae,28,Christian Petracca,28,Darcy Parish,26,Marcus Bontempelli,25,Sam Walsh,23,Tom Mitchell,22,Travis Boak,21,Luke Parker,21,Cameron Guthrie,19,Rory Laird,18,Touk Miller,18,Ben Cunnington,17,David Mundy,16,Dominic Sheed,16,Tim Taranto,16,Callum Mills,15
LR(B),N,BT,0.2,3,In,1,0.9731600809457877,,0.18340611353711792,0.2096069868995633,0.5109170305676856,0.5034416236596075,,Clayton Oliver,37,Oliver Wines,35,Jackson Macrae,32,Christian Petracca,31,Jack Steele,29,Darcy Parish,28,Marcus Bontempelli,24,Jarryd Lyons,24,Sam Walsh,23,Tom Mitchell,21,Luke Parker,21,Travis Boak,20,Touk Miller,19,David Mundy,18,Rory Laird,17,Cameron Guthrie,17,Joshua Kelly,16,Tim Taranto,16,Dominic Sheed,16,Ben Cunnington,14
