Method,Datatype,Use,Feature Selection Value,Feature Selection Rule,Winloss,Fold,TP0,TP0.5,TP1,TP2,TP3,Coef1,Coef2,P1,V1,P2,V2,P3,V3,P4,V4,P5,V5,P6,V6,P7,V7,P8,V8,P9,V9,P10,V10,P11,V11,P12,V12,P13,V13,P14,V14,P15,V15,P16,V16,P17,V17,P18,V18,P19,V19,P20,V20
LR(PCA),N,BT,0.2,1,In,1,0.96293535,,0.082969432,0.19650655,0.379912664,0.184560439,,Jackson Macrae,42,Clayton Oliver,41,Oliver Wines,39,Rory Laird,36,Darcy Parish,35,Tom Mitchell,34,Touk Miller,34,Christian Petracca,32,Jack Steele,31,Jarryd Lyons,29,Cameron Guthrie,28,Travis Boak,24,Sam Walsh,24,Marcus Bontempelli,24,Zachary Merrett,23,Callum Mills,21,Ben Keays,20,Jacob Hopper,20,Jy Simpkin,20,Taylor Adams,18
LR(PCA),N,BT,0.3,1,In,1,0.963467888,,0.096069869,0.170305677,0.406113537,0.196766112,,Clayton Oliver,42,Rory Laird,37,Jackson Macrae,37,Oliver Wines,34,Darcy Parish,34,Jack Steele,32,Jarryd Lyons,31,Christian Petracca,30,Touk Miller,29,Cameron Guthrie,29,Travis Boak,27,Sam Walsh,25,Tom Mitchell,24,Callum Mills,21,Zachary Merrett,20,Joel Selwood,20,Luke Parker,20,Taylor Adams,19,David Mundy,19,Marcus Bontempelli,18
LR(PCA),N,BT,0.2,1,In,2,0.964106934,,0.144104803,0.200873362,0.35371179,0.181916583,,Jackson Macrae,42,Clayton Oliver,41,Oliver Wines,39,Rory Laird,36,Darcy Parish,35,Tom Mitchell,34,Touk Miller,33,Christian Petracca,32,Jack Steele,31,Jarryd Lyons,29,Cameron Guthrie,28,Marcus Bontempelli,25,Travis Boak,24,Sam Walsh,24,Zachary Merrett,23,Callum Mills,21,Ben Keays,20,Jacob Hopper,20,Jy Simpkin,20,Taylor Adams,18
LR(PCA),N,BT,0.3,1,In,2,0.964852487,,0.113537118,0.170305677,0.35371179,0.194437761,,Clayton Oliver,42,Rory Laird,37,Jackson Macrae,37,Oliver Wines,34,Darcy Parish,34,Jack Steele,32,Jarryd Lyons,31,Christian Petracca,30,Touk Miller,29,Cameron Guthrie,29,Travis Boak,27,Sam Walsh,25,Tom Mitchell,24,Callum Mills,21,Zachary Merrett,20,Joel Selwood,20,Luke Parker,20,Taylor Adams,19,David Mundy,19,Marcus Bontempelli,18
LR(PCA),N,BT,0.2,1,In,3,0.962986735,,0.118421053,0.184210526,0.324561404,0.185858454,,Jackson Macrae,42,Clayton Oliver,41,Oliver Wines,39,Rory Laird,36,Darcy Parish,35,Tom Mitchell,34,Touk Miller,33,Christian Petracca,32,Jack Steele,31,Jarryd Lyons,29,Cameron Guthrie,28,Marcus Bontempelli,25,Travis Boak,24,Sam Walsh,24,Zachary Merrett,23,Callum Mills,21,Ben Keays,20,Jacob Hopper,20,Jy Simpkin,20,Taylor Adams,18
LR(PCA),N,BT,0.3,1,In,3,0.964484382,,0.122807018,0.219298246,0.377192982,0.197837435,,Clayton Oliver,42,Rory Laird,37,Jackson Macrae,37,Oliver Wines,34,Darcy Parish,34,Jack Steele,32,Jarryd Lyons,31,Christian Petracca,30,Touk Miller,29,Cameron Guthrie,29,Travis Boak,27,Sam Walsh,25,Tom Mitchell,24,Callum Mills,21,Zachary Merrett,20,Joel Selwood,20,Luke Parker,20,Taylor Adams,19,David Mundy,19,Marcus Bontempelli,18
LR(PCA),N,BT,0.2,1,In,4,0.964912281,,0.118421053,0.114035088,0.333333333,0.182710075,,Jackson Macrae,42,Clayton Oliver,41,Oliver Wines,39,Rory Laird,36,Darcy Parish,35,Tom Mitchell,34,Touk Miller,34,Christian Petracca,32,Jack Steele,31,Jarryd Lyons,29,Cameron Guthrie,28,Travis Boak,24,Sam Walsh,24,Marcus Bontempelli,24,Zachary Merrett,23,Callum Mills,21,Ben Keays,20,Jacob Hopper,20,Jy Simpkin,20,Taylor Adams,18
LR(PCA),N,BT,0.3,1,In,4,0.964591356,,0.122807018,0.144736842,0.372807018,0.194777396,,Clayton Oliver,42,Rory Laird,37,Jackson Macrae,37,Oliver Wines,34,Darcy Parish,34,Jack Steele,32,Jarryd Lyons,30,Christian Petracca,30,Touk Miller,29,Cameron Guthrie,29,Travis Boak,27,Sam Walsh,25,Tom Mitchell,24,Callum Mills,22,Zachary Merrett,20,Joel Selwood,20,Luke Parker,20,Taylor Adams,19,David Mundy,19,Marcus Bontempelli,18
LR(PCA),N,BT,0.2,1,In,5,0.964056483,,0.100877193,0.206140351,0.390350877,0.181772171,,Jackson Macrae,42,Clayton Oliver,41,Oliver Wines,39,Rory Laird,36,Darcy Parish,35,Tom Mitchell,34,Touk Miller,34,Christian Petracca,32,Jack Steele,31,Jarryd Lyons,29,Cameron Guthrie,28,Travis Boak,24,Sam Walsh,24,Marcus Bontempelli,24,Zachary Merrett,23,Callum Mills,21,Ben Keays,20,Jacob Hopper,20,Jy Simpkin,20,Taylor Adams,18
LR(PCA),N,BT,0.3,1,In,5,0.964698331,,0.100877193,0.179824561,0.399122807,0.194534011,,Clayton Oliver,42,Rory Laird,37,Jackson Macrae,37,Oliver Wines,34,Darcy Parish,34,Jack Steele,32,Jarryd Lyons,30,Christian Petracca,30,Touk Miller,29,Cameron Guthrie,29,Travis Boak,27,Sam Walsh,25,Tom Mitchell,24,Callum Mills,22,Zachary Merrett,20,Joel Selwood,20,Luke Parker,20,Taylor Adams,19,David Mundy,19,Marcus Bontempelli,18
