Method,Datatype,Use,FS_Val,FS_Rule,WinLoss,tp3,tp2,tp1,tp0.5,tp0,coef_avg,coef1,coef2_1,coef2_2,m1_Top3score,m1_avgvotediff(3),m1_Top4score,m1_avgvotediff(4),m2_Winner,m2_avgvotediff,v1
LR(PCA),N,BT,0.2,1.0,In,0.3563740136,0.18035317539999998,0.1129587068,,0.9637995566,0.1833635444,0.1833635444,,,8.333333333333332,0.0,17.5,0.0,0.0,0.0,42.0
LR(PCA),N,BT,0.2,1.0,Out,0.3563740136,0.18035317539999998,0.1129587068,,0.9637995566,0.1833635444,0.1833635444,,,8.333333333333332,0.0,17.5,0.0,0.0,0.0,42.0
LR(PCA),N,BT,0.2,2.0,In,0.37738833980000003,0.16811460979999998,0.1295794072,,0.9645467914000001,0.184321631,0.184321631,,,15.0,0.1388888888888889,25.0,1.6666666666666667,0.0,0.0,41.0
LR(PCA),N,BT,0.2,2.0,Out,0.37738833980000003,0.16811460979999998,0.1295794072,,0.9645467914000001,0.184321631,0.184321631,,,15.0,0.1388888888888889,25.0,1.6666666666666667,0.0,0.0,41.0
LR(PCA),N,BT,0.2,3.0,In,0.4019152686,0.1786485866,0.1269708112,,0.9665327850000001,0.20812229599999998,0.20812229599999998,,,6.666666666666666,0.0,15.0,0.0,0.0,0.0,40.2
LR(PCA),N,BT,0.2,3.0,Out,0.4019152686,0.1786485866,0.1269708112,,0.9665327850000001,0.20812229599999998,0.20812229599999998,,,6.666666666666666,0.0,15.0,0.0,0.0,0.0,40.2
LR(PCA),N,BT,0.2,4.0,In,0.40279246139999997,0.1768788786,0.1269823028,,0.9668105454000001,0.2088700174,0.2088700174,,,6.666666666666666,0.0,15.0,0.0,0.0,0.0,42.0
LR(PCA),N,BT,0.2,4.0,Out,0.40279246139999997,0.1768788786,0.1269823028,,0.9668105454000001,0.2088700174,0.2088700174,,,6.666666666666666,0.0,15.0,0.0,0.0,0.0,42.0
LR(PCA),N,BT,0.2,5.0,In,0.41677009099999995,0.196127327,0.1295870682,,0.9673444847999999,0.2118655426,0.2118655426,,,11.666666666666666,0.0,20.0,0.0,0.0,0.0,40.2
LR(PCA),N,BT,0.2,5.0,Out,0.41677009099999995,0.196127327,0.1295870682,,0.9673444847999999,0.2118655426,0.2118655426,,,11.666666666666666,0.0,20.0,0.0,0.0,0.0,40.2
LR(PCA),N,BT,0.2,6.0,In,0.4159312037999999,0.2066804566,0.1505937334,,0.9687964454,0.2250822414,0.2250822414,,,1.6666666666666665,0.0,7.0,0.0,0.0,0.0,36.4
LR(PCA),N,BT,0.2,6.0,Out,0.4159312037999999,0.2066804566,0.1505937334,,0.9687964454,0.2250822414,0.2250822414,,,1.6666666666666665,0.0,7.0,0.0,0.0,0.0,36.4
LR(PCA),N,BT,0.2,7.0,In,0.43698383539999996,0.20057458060000002,0.1620163946,,0.9691603464,0.22998847640000003,0.22998847640000003,,,4.333333333333333,0.0,10.5,0.0,0.0,0.0,36.2
LR(PCA),N,BT,0.2,7.0,Out,0.43698383539999996,0.20057458060000002,0.1620163946,,0.9691603464,0.22998847640000003,0.22998847640000003,,,4.333333333333333,0.0,10.5,0.0,0.0,0.0,36.2
LR(PCA),N,BT,0.2,8.0,In,0.4466099746,0.20405270820000002,0.1576342602,,0.969565916,0.2317381386,0.2317381386,,,13.0,1.6666666666666667,24.5,1.6666666666666667,3.0,1.3333333333333333,34.8
LR(PCA),N,BT,0.2,8.0,Out,0.4466099746,0.20405270820000002,0.1576342602,,0.969565916,0.2317381386,0.2317381386,,,13.0,1.6666666666666667,24.5,1.6666666666666667,3.0,1.3333333333333333,34.8
LR(PCA),N,BT,0.2,9.0,In,0.4466138052,0.1988201944,0.1594077988,,0.9694595952,0.2319385076,0.2319385076,,,16.0,0.75,25.5,2.0,3.0,1.0,35.2
LR(PCA),N,BT,0.2,9.0,Out,0.4466138052,0.1988201944,0.1594077988,,0.9694595952,0.2319385076,0.2319385076,,,16.0,0.75,25.5,2.0,3.0,1.0,35.2
LR(PCA),N,BT,0.2,10.0,In,0.4474871678,0.2058262468,0.1567838812,,0.9695449882,0.23245257260000002,0.23245257260000002,,,10.666666666666666,0.6666666666666666,18.5,0.6666666666666666,0.0,0.0,34.0
