Method,Datatype,Use,FS_Val,FS_Rule,WinLoss,tp3,tp2,tp1,tp0.5,tp0,coef_avg,coef1,coef2_1,coef2_2,m1_Top3score,m1_avgvotediff(3),m1_Top4score,m1_avgvotediff(4),m2_Winner,m2_avgvotediff,v1,v1m
LR,N,BT,0.2,1.0,In,0.43258254807323987,0.19878571975791,0.15411399678234883,,0.9697370756745949,0.23353036785697,0.23353036785697,,,15.0,2.5,21.5,1.6666666666666667,5.0,1.8,34.2,34.0
LR,N,BT,0.2,1.0,Out,0.43258254807323987,0.19878571975791,0.15411399678234883,,0.9697370756745949,0.23353036785697,0.23353036785697,,,15.0,2.5,21.5,1.6666666666666667,5.0,1.8,34.2,34.0
LR,N,BT,0.2,2.0,In,0.4597257335478434,0.2224392859878955,0.1725044051175974,,0.9697793050097818,0.23118848164456923,0.23118848164456923,,,17.666666666666664,2.0,27.5,2.6666666666666665,4.0,2.75,33.4,33.0
LR,N,BT,0.2,2.0,Out,0.4597257335478434,0.2224392859878955,0.1725044051175974,,0.9697793050097818,0.23118848164456923,0.23118848164456923,,,17.666666666666664,2.0,27.5,2.6666666666666665,4.0,2.75,33.4,33.0
LR,N,BT,0.2,3.0,In,0.45098061748257107,0.20931586608442504,0.15766490461962762,,0.9694383872131068,0.23192595073281383,0.23192595073281383,,,12.666666666666666,1.0,23.5,1.0,1.0,2.0,34.2,34.0
LR,N,BT,0.2,3.0,Out,0.45098061748257107,0.20931586608442504,0.15766490461962762,,0.9694383872131068,0.23192595073281383,0.23192595073281383,,,12.666666666666666,1.0,23.5,1.0,1.0,2.0,34.2,34.0
LR,N,BT,0.2,4.0,In,0.4597257335478434,0.2224392859878955,0.1725044051175974,,0.9697793050097818,0.23118848164456923,0.23118848164456923,,,17.666666666666664,2.0,27.5,2.6666666666666665,4.0,2.75,33.4,33.0
LR,N,BT,0.2,4.0,Out,0.4597257335478434,0.2224392859878955,0.1725044051175974,,0.9697793050097818,0.23118848164456923,0.23118848164456923,,,17.666666666666664,2.0,27.5,2.6666666666666665,4.0,2.75,33.4,33.0
LR,N,BT,0.25,1.0,In,0.41152991649429255,0.1926491994177583,0.1532329732628514,,0.9684533786270981,0.22764143248631735,0.22764143248631735,,,12.333333333333334,2.0,18.5,1.3333333333333333,4.0,1.75,35.6,34.0
LR,N,BT,0.25,1.0,Out,0.41152991649429255,0.1926491994177583,0.1532329732628514,,0.9684533786270981,0.22764143248631735,0.22764143248631735,,,12.333333333333334,2.0,18.5,1.3333333333333333,4.0,1.75,35.6,34.0
LR,N,BT,0.25,2.0,In,0.42901631808779583,0.1987627365356623,0.1611123879567915,,0.9685170029130766,0.22537462056175386,0.22537462056175386,,,16.333333333333336,2.0,25.0,2.6666666666666665,4.0,2.75,35.0,33.0
LR,N,BT,0.25,2.0,Out,0.42901631808779583,0.1987627365356623,0.1611123879567915,,0.9685170029130766,0.22537462056175386,0.22537462056175386,,,16.333333333333336,2.0,25.0,2.6666666666666665,4.0,2.75,35.0,33.0
LR,N,BT,0.25,3.0,In,0.4264192139737991,0.19703516433003904,0.15327510917030562,,0.9683257563442101,0.22588277609900506,0.22588277609900506,,,10.0,1.0,19.0,1.0,1.0,2.0,35.0,34.0
LR,N,BT,0.25,3.0,Out,0.4264192139737991,0.19703516433003904,0.15327510917030562,,0.9683257563442101,0.22588277609900506,0.22588277609900506,,,10.0,1.0,19.0,1.0,1.0,2.0,35.0,34.0
LR,N,BT,0.25,4.0,In,0.42901631808779583,0.1987627365356623,0.1611123879567915,,0.9685170029130766,0.22537462056175386,0.22537462056175386,,,16.333333333333336,2.0,25.0,2.6666666666666665,4.0,2.75,35.0,33.0
LR,N,BT,0.25,4.0,Out,0.42901631808779583,0.1987627365356623,0.1611123879567915,,0.9685170029130766,0.22537462056175386,0.22537462056175386,,,16.333333333333336,2.0,25.0,2.6666666666666665,4.0,2.75,35.0,33.0
LR,N,BT,0.3,1.0,In,0.36076380908603384,0.16286294338466245,0.10771470160116445,,0.9643762857991713,0.1999337781995703,0.1999337781995703,,,1.6666666666666665,0.0,5.0,0.0,0.0,0.0,42.4,43.0
LR,N,BT,0.3,1.0,Out,0.36076380908603384,0.16286294338466245,0.10771470160116445,,0.9643762857991713,0.1999337781995703,0.1999337781995703,,,1.6666666666666665,0.0,5.0,0.0,0.0,0.0,42.4,43.0
LR,N,BT,0.3,2.0,In,0.36602313644372936,0.17248908296943227,0.10158201179805404,,0.9644824197035351,0.19979117263653826,0.19979117263653826,,,1.6666666666666665,0.0,5.0,0.0,0.0,0.0,42.2,42.0
LR,N,BT,0.3,2.0,Out,0.36602313644372936,0.17248908296943227,0.10158201179805404,,0.9644824197035351,0.19979117263653826,0.19979117263653826,,,1.6666666666666665,0.0,5.0,0.0,0.0,0.0,42.2,42.0
LR,N,BT,0.3,3.0,In,0.3809354171454838,0.16376695012640768,0.11908756607676392,,0.9651668712734015,0.19548437004252645,0.19548437004252645,,,11.666666666666666,0.0,20.0,0.0,0.0,0.0,41.8,42.0
LR,N,BT,0.3,3.0,Out,0.3809354171454838,0.16376695012640768,0.11908756607676392,,0.9651668712734015,0.19548437004252645,0.19548437004252645,,,11.666666666666666,0.0,20.0,0.0,0.0,0.0,41.8,42.0
LR,N,BT,0.3,4.0,In,0.36602313644372936,0.17248908296943227,0.10158201179805404,,0.9644824197035351,0.19979117263653826,0.19979117263653826,,,1.6666666666666665,0.0,5.0,0.0,0.0,0.0,42.2,42.0
LR,N,BT,0.3,4.0,Out,0.36602313644372936,0.17248908296943227,0.10158201179805404,,0.9644824197035351,0.19979117263653826,0.19979117263653826,,,1.6666666666666665,0.0,5.0,0.0,0.0,0.0,42.2,42.0
LR,N,BT,0.35,1.0,In,0.31178273193901784,0.13398835516739444,0.10070098827855663,,0.9613020462542019,0.17074932992444855,0.17074932992444855,,,7.666666666666666,0.0,16.0,0.0,0.0,0.0,47.2,48.0
LR,N,BT,0.35,1.0,Out,0.31178273193901784,0.13398835516739444,0.10070098827855663,,0.9613020462542019,0.17074932992444855,0.17074932992444855,,,7.666666666666666,0.0,16.0,0.0,0.0,0.0,47.2,48.0
LR,N,BT,0.35,2.0,In,0.34673638244081817,0.16465563471998773,0.10771853213820574,,0.9619851898358102,0.15422809254559028,0.15422809254559028,,,1.3333333333333333,0.0,7.0,0.0,0.0,0.0,46.8,49.0
LR,N,BT,0.35,2.0,Out,0.34673638244081817,0.16465563471998773,0.10771853213820574,,0.9619851898358102,0.15422809254559028,0.15422809254559028,,,1.3333333333333333,0.0,7.0,0.0,0.0,0.0,46.8,49.0
LR,N,BT,0.35,3.0,In,0.2495939630736229,0.11647897035164326,0.0875507546157971,,0.9546370052300844,0.12564545556749407,0.12564545556749407,,,11.666666666666666,0.0,20.0,0.0,0.0,0.0,46.0,46.0
LR,N,BT,0.35,3.0,Out,0.2495939630736229,0.11647897035164326,0.0875507546157971,,0.9546370052300844,0.12564545556749407,0.12564545556749407,,,11.666666666666666,0.0,20.0,0.0,0.0,0.0,46.0,46.0
