Method,Datatype,Use,FS_Val,FS_Rule,WinLoss,tp3,tp2,tp1,tp0.5,tp0,coef_avg,coef1,coef2_1,coef2_2,m1_Top3score,m1_avgvotediff(3),m1_Top4score,m1_avgvotediff(4),m2_Winner,m2_avgvotediff,v1
LR,N,BT,0.2,1.0,In,0.43258254807323987,0.19878571975791004,0.15411399678234888,,0.9697370756745949,0.23353036785697,0.23353036785697,,,15.0,2.5,21.5,1.6666666666666667,5.0,1.8,35.0
LR,N,BT,0.2,1.0,Out,0.43258254807323987,0.19878571975791004,0.15411399678234888,,0.9697370756745949,0.23353036785697,0.23353036785697,,,15.0,2.5,21.5,1.6666666666666667,5.0,1.8,35.0
LR,N,BT,0.2,2.0,In,0.4597257335478434,0.2224392859878955,0.17250440511759751,,0.9697793050097818,0.2311884816445693,0.2311884816445693,,,17.666666666666664,2.0,27.5,2.6666666666666665,4.0,2.75,34.0
LR,N,BT,0.2,2.0,Out,0.4597257335478434,0.2224392859878955,0.17250440511759751,,0.9697793050097818,0.2311884816445693,0.2311884816445693,,,17.666666666666664,2.0,27.5,2.6666666666666665,4.0,2.75,34.0
LR,N,BT,0.2,3.0,In,0.45098061748257107,0.20931586608442504,0.15766490461962768,,0.9694383872131068,0.23192595073281383,0.23192595073281383,,,12.666666666666666,1.0,23.5,1.0,1.0,2.0,35.0
LR,N,BT,0.2,3.0,Out,0.45098061748257107,0.20931586608442504,0.15766490461962768,,0.9694383872131068,0.23192595073281383,0.23192595073281383,,,12.666666666666666,1.0,23.5,1.0,1.0,2.0,35.0
LR,N,BT,0.2,4.0,In,0.4597257335478434,0.2224392859878955,0.17250440511759751,,0.9697793050097818,0.2311884816445693,0.2311884816445693,,,17.666666666666664,2.0,27.5,2.6666666666666665,4.0,2.75,34.0
LR,N,BT,0.2,4.0,Out,0.4597257335478434,0.2224392859878955,0.17250440511759751,,0.9697793050097818,0.2311884816445693,0.2311884816445693,,,17.666666666666664,2.0,27.5,2.6666666666666665,4.0,2.75,34.0
LR,N,BT,0.25,1.0,In,0.41152991649429255,0.19264919941775835,0.15323297326285146,,0.9684533786270981,0.22764143248631735,0.22764143248631735,,,12.333333333333334,2.0,18.5,1.3333333333333333,4.0,1.75,41.0
LR,N,BT,0.25,1.0,Out,0.41152991649429255,0.19264919941775835,0.15323297326285146,,0.9684533786270981,0.22764143248631735,0.22764143248631735,,,12.333333333333334,2.0,18.5,1.3333333333333333,4.0,1.75,41.0
LR,N,BT,0.25,2.0,In,0.42901631808779594,0.1987627365356623,0.16111238795679156,,0.9685170029130766,0.2253746205617539,0.2253746205617539,,,16.333333333333336,2.0,25.0,2.6666666666666665,4.0,2.75,42.0
LR,N,BT,0.25,2.0,Out,0.42901631808779594,0.1987627365356623,0.16111238795679156,,0.9685170029130766,0.2253746205617539,0.2253746205617539,,,16.333333333333336,2.0,25.0,2.6666666666666665,4.0,2.75,42.0
LR,N,BT,0.25,3.0,In,0.4264192139737991,0.19703516433003904,0.15327510917030568,,0.9683257563442101,0.22588277609900512,0.22588277609900512,,,10.0,1.0,19.0,1.0,1.0,2.0,39.0
LR,N,BT,0.25,3.0,Out,0.4264192139737991,0.19703516433003904,0.15327510917030568,,0.9683257563442101,0.22588277609900512,0.22588277609900512,,,10.0,1.0,19.0,1.0,1.0,2.0,39.0
LR,N,BT,0.25,4.0,In,0.42901631808779594,0.1987627365356623,0.16111238795679156,,0.9685170029130766,0.2253746205617539,0.2253746205617539,,,16.333333333333336,2.0,25.0,2.6666666666666665,4.0,2.75,42.0
LR,N,BT,0.25,4.0,Out,0.42901631808779594,0.1987627365356623,0.16111238795679156,,0.9685170029130766,0.2253746205617539,0.2253746205617539,,,16.333333333333336,2.0,25.0,2.6666666666666665,4.0,2.75,42.0
LR,N,BT,0.3,1.0,In,0.3607638090860339,0.1628629433846625,0.10771470160116448,,0.9643762857991713,0.1999337781995703,0.1999337781995703,,,1.6666666666666665,0.0,5.0,0.0,0.0,0.0,43.0
