Player,Kicks BTPS,Kicks OTPS,Handballs BTPS,Handballs OTPS,Disposals BTPS,Disposals OTPS,Marks BTPS,Marks OTPS,Goals BTPS,Goals OTPS,Behinds BTPS,Behinds OTPS,Tackles BTPS,Tackles OTPS,Hitouts BTPS,Hitouts OTPS,Goal Assists BTPS,Goal Assists OTPS,Inside 50s BTPS,Inside 50s OTPS,Clearances BTPS,Clearances OTPS,Clangers BTPS,Clangers OTPS,Rebound 50s BTPS,Rebound 50s OTPS,Frees For BTPS,Frees For OTPS,Frees Agains BTPS,Frees Agains OTPS,Contested Possessions BTPS,Contested Possessions OTPS,Uncontested Possessions BTPS,Uncontested Possessions OTPS,Effective Disposals BTPS,Effective Disposals OTPS,Contested Marks BTPS,Contested Marks OTPS,Marks Inside 50 BTPS,Marks Inside 50 OTPS,One Percenters BTPS,One Percenters OTPS,Bounces BTPS,Bounces OTPS,Centre Clearances BTPS,Centre Clearances OTPS,Stoppage Clearances BTPS,Stoppage Clearances OTPS,Score Involvements BTPS,Score Involvements OTPS,Metres Gained BTPS,Metres Gained OTPS,Turnovers BTPS,Turnovers OTPS,Intercepts BTPS,Intercepts OTPS,Tackles Inside 50 BTPS,Tackles Inside 50 OTPS,Time On Ground % BTPS,Time On Ground % OTPS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTPS,Uncontested Marks OTPS,Marks Outside 50 BTPS,Marks Outside 50 OTPS,Tackles Outside 50 BTPS,Tackles Outside 50 OTPS,Behind Assists BTPS,Behind Assists OTPS,Ineffective Disposals BTPS,Ineffective Disposals OTPS
Richard Douglas,1.0,1.0,0.5,0.7499999999999999,1.0,1.0,0.33333333333333337,0.2857142857142857,0.0,0.0,0.0,0.0,0.375,0.42857142857142855,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.6000000000000001,0.0,0.0,0.0,0.0,0.9375,0.9375,1.0,1.0,0.9047619047619049,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.6923076923076924,0.9585798816568047,0.951473136915078,0.0,0.0,0.27272727272727276,0.375,0.0,0.0,0.823529411764706,0.823529411764706,1,Home,0,0.4166666666666667,0.36363636363636365,0.7142857142857143,0.6666666666666665,0.5,0.6,0.6666666666666667,0.6363636363636365,1.0,1.0
Rory Sloane,0.6190476190476191,0.5294117647058825,0.6666666666666667,1.0,0.8333333333333334,0.782608695652174,0.4,0.35714285714285715,0.3333333333333333,0.3333333333333333,0.0,0.0,0.625,0.7142857142857143,0.02857142857142857,0.038461538461538464,0.0,0.0,0.5714285714285715,0.5714285714285714,0.5555555555555555,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.16666666666666666,0.2,1.0,1.0,0.0,0.0,0.8125,0.8125,0.8124999999999999,0.7692307692307693,1.0,1.0,0.0,0.0,0.11111111111111109,0.1111111111111111,1.0,1.0,0.5,0.5,0.39999999999999997,0.39999999999999997,0.6,0.6,0.7857142857142857,0.7692307692307693,0.7677514792899408,0.7279029462738301,0.33333333333333337,0.33333333333333326,0.5454545454545455,0.75,0.0,0.0,0.823529411764706,0.823529411764706,1,Home,0,0.5,0.45454545454545453,0.7142857142857143,0.6666666666666665,0.8333333333333334,1.0,0.9166666666666667,0.9090909090909092,0.4166666666666667,0.4166666666666667
Patrick Dangerfield,0.6666666666666666,0.5882352941176472,0.5555555555555557,0.8333333333333334,0.8,0.7391304347826089,0.13333333333333336,0.07142857142857142,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5,0.5714285714285714,0.0,0.0,1.0,1.0,0.7142857142857144,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337,1.0,1.0,0.4999999999999999,0.3846153846153847,0.7142857142857143,0.6249999999999999,0.33333333333333337,0.3333333333333333,0.11111111111111109,0.1111111111111111,0.2,0.2,0.0,0.0,1.0,1.0,0.4,0.4,0.7142857142857143,0.6923076923076924,0.7781065088757396,0.7400346620450606,0.7777777777777778,0.7777777777777778,0.09090909090909091,0.125,0.0,0.0,0.7352941176470589,0.7352941176470589,1,Home,2,0.08333333333333334,0.0,0.14285714285714285,0.0,0.6666666666666667,0.8,0.6666666666666667,0.6363636363636365,0.8333333333333334,0.8333333333333334
Rory Laird,0.6190476190476191,0.5294117647058825,0.5555555555555557,0.8333333333333334,0.7666666666666667,0.6956521739130436,0.4666666666666667,0.42857142857142855,0.16666666666666666,0.16666666666666666,0.0,0.0,0.25,0.2857142857142857,0.0,0.0,0.0,0.0,0.28571428571428575,0.2857142857142857,0.1111111111111111,0.11111111111111112,0.5555555555555556,0.5555555555555556,0.5,0.6000000000000001,0.0,0.0,0.33333333333333337,0.33333333333333337,0.5,0.5,1.0,1.0,0.9523809523809524,0.9375,0.0,0.0,0.11111111111111109,0.1111111111111111,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.35714285714285715,0.3076923076923077,0.5310650887573964,0.45060658578856144,0.4444444444444444,0.4444444444444444,0.4545454545454546,0.625,0.0,0.0,0.823529411764706,0.823529411764706,1,Home,0,0.5833333333333334,0.5454545454545455,0.8571428571428572,0.8333333333333331,0.33333333333333337,0.4,0.4166666666666667,0.3636363636363637,0.33333333333333337,0.33333333333333337
Taylor Walker,0.9523809523809524,0.9411764705882353,0.05555555555555556,0.08333333333333333,0.7,0.6086956521739131,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5555555555555556,0.5555555555555556,0.0,0.0,0.25,0.25,0.33333333333333337,0.33333333333333337,0.375,0.375,0.9374999999999999,0.9230769230769231,0.7142857142857143,0.6249999999999999,1.0,1.0,1.0,1.0,0.2,0.2,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.33333333333333337,0.33333333333333326,0.09090909090909091,0.125,0.0,0.0,0.9558823529411765,0.9558823529411765,1,Home,3,1.0,1.0,0.8571428571428572,0.8333333333333331,0.0,0.0,1.0,1.0,0.5833333333333334,0.5833333333333334
Brodie Smith,0.6190476190476191,0.5294117647058825,0.4444444444444445,0.6666666666666666,0.7,0.6086956521739131,0.33333333333333337,0.2857142857142857,0.16666666666666666,0.16666666666666666,0.0,0.0,0.375,0.42857142857142855,0.0,0.0,0.5,0.5,0.8571428571428572,0.8571428571428571,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.8333333333333333,1.0,0.5,0.5,1.0,1.0,0.625,0.625,0.6874999999999999,0.6153846153846154,0.8571428571428572,0.8125,0.6666666666666667,0.6666666666666666,0.0,0.0,0.4,0.4,0.8333333333333334,0.8333333333333334,0.19999999999999998,0.19999999999999998,0.4,0.4,0.5,0.46153846153846156,0.8254437869822485,0.7954939341421144,0.6666666666666667,0.6666666666666666,0.5454545454545455,0.75,0.0,0.0,0.7205882352941178,0.7205882352941178,1,Home,0,0.25,0.1818181818181818,0.7142857142857143,0.6666666666666665,0.5,0.6,0.5,0.4545454545454546,0.33333333333333337,0.33333333333333337
Eddie Betts,0.6666666666666666,0.5882352941176472,0.33333333333333337,0.5,0.6666666666666666,0.5652173913043478,0.5333333333333334,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.875,1.0,0.0,0.0,1.0,1.0,0.5714285714285715,0.5714285714285714,0.2222222222222222,0.22222222222222224,0.7777777777777778,0.7777777777777778,0.16666666666666666,0.2,0.0,0.0,0.6666666666666667,0.6666666666666667,0.4375,0.43749999999999994,0.875,0.8461538461538463,0.7142857142857143,0.6249999999999999,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2,0.2,1.0,1.0,0.39999999999999997,0.39999999999999997,0.0,0.0,0.8571428571428572,0.8461538461538461,0.5458579881656804,0.46793760831889075,0.5555555555555556,0.5555555555555556,0.18181818181818182,0.25,1.0,1.0,0.8823529411764707,0.8823529411764707,1,Home,1,0.6666666666666667,0.6363636363636365,0.7142857142857143,0.6666666666666665,0.6666666666666667,0.8,0.8333333333333334,0.8181818181818182,0.5,0.5
Nathan Van Berlo,0.4285714285714285,0.29411764705882354,0.38888888888888895,0.5833333333333334,0.5333333333333333,0.39130434782608703,0.2666666666666667,0.21428571428571427,0.0,0.0,0.0,0.0,0.5,0.5714285714285714,0.0,0.0,0.5,0.5,0.8571428571428572,0.8571428571428571,0.3333333333333333,0.3333333333333333,0.888888888888889,0.8888888888888888,0.16666666666666666,0.2,0.25,0.25,0.6666666666666667,0.6666666666666667,0.3125,0.3125,0.6874999999999999,0.6153846153846154,0.6190476190476191,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.28571428571428575,0.23076923076923078,0.4319526627218935,0.33448873483535524,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.0,0.7500000000000001,0.7500000000000001,1,Home,0,0.33333333333333337,0.2727272727272727,0.5714285714285714,0.4999999999999999,0.6666666666666667,0.8,0.25,0.1818181818181818,0.33333333333333337,0.33333333333333337
Daniel Talia,0.2857142857142857,0.11764705882352944,0.5555555555555557,0.8333333333333334,0.5333333333333333,0.39130434782608703,0.2666666666666667,0.21428571428571427,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.888888888888889,0.8888888888888888,0.3333333333333333,0.4,0.25,0.25,1.0,1.0,0.375,0.375,0.5624999999999999,0.4615384615384616,0.7142857142857143,0.6249999999999999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2142857142857143,0.15384615384615385,0.2751479289940828,0.15077989601386482,0.7777777777777778,0.7777777777777778,0.36363636363636365,0.5,0.0,0.0,1.0,1.0,1,Home,0,0.33333333333333337,0.2727272727272727,0.5714285714285714,0.4999999999999999,0.33333333333333337,0.4,0.25,0.1818181818181818,0.16666666666666669,0.16666666666666669
Kyle Hartigan,0.2380952380952381,0.05882352941176469,0.5555555555555557,0.8333333333333334,0.5,0.34782608695652173,0.33333333333333337,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.6000000000000001,0.0,0.0,1.0,1.0,0.375,0.375,0.5624999999999999,0.4615384615384616,0.6190476190476191,0.49999999999999994,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.28571428571428575,0.23076923076923078,0.1464497041420118,0.0,0.8888888888888888,0.8888888888888888,0.7272727272727273,1.0,0.0,0.0,0.9852941176470589,0.9852941176470589,1,Home,0,0.4166666666666667,0.36363636363636365,0.7142857142857143,0.6666666666666665,0.0,0.0,0.33333333333333337,0.27272727272727276,0.25,0.25
