Player,Kicks BTNS,Kicks OTNS,Handballs BTNS,Handballs OTNS,Disposals BTNS,Disposals OTNS,Marks BTNS,Marks OTNS,Goals BTNS,Goals OTNS,Behinds BTNS,Behinds OTNS,Tackles BTNS,Tackles OTNS,Hitouts BTNS,Hitouts OTNS,Goal Assists BTNS,Goal Assists OTNS,Inside 50s BTNS,Inside 50s OTNS,Clearances BTNS,Clearances OTNS,Clangers BTNS,Clangers OTNS,Rebound 50s BTNS,Rebound 50s OTNS,Frees For BTNS,Frees For OTNS,Frees Agains BTNS,Frees Agains OTNS,Contested Possessions BTNS,Contested Possessions OTNS,Uncontested Possessions BTNS,Uncontested Possessions OTNS,Effective Disposals BTNS,Effective Disposals OTNS,Contested Marks BTNS,Contested Marks OTNS,Marks Inside 50 BTNS,Marks Inside 50 OTNS,One Percenters BTNS,One Percenters OTNS,Bounces BTNS,Bounces OTNS,Centre Clearances BTNS,Centre Clearances OTNS,Stoppage Clearances BTNS,Stoppage Clearances OTNS,Score Involvements BTNS,Score Involvements OTNS,Metres Gained BTNS,Metres Gained OTNS,Turnovers BTNS,Turnovers OTNS,Intercepts BTNS,Intercepts OTNS,Tackles Inside 50 BTNS,Tackles Inside 50 OTNS,Time On Ground % BTNS,Time On Ground % OTNS,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTNS,Uncontested Marks OTNS,Marks Outside 50 BTNS,Marks Outside 50 OTNS,Tackles Outside 50 BTNS,Tackles Outside 50 OTNS,Behind Assists BTNS,Behind Assists OTNS,Ineffective Disposals BTNS,Ineffective Disposals OTNS
Richard Douglas,1.0,1.0,0.4999999999999999,0.75,1.0,1.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,0.0,0.375,0.42857142857142866,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.49999999999999994,0.6000000000000001,0.0,0.0,0.0,0.0,0.9375,0.9374999999999999,1.0,1.0,0.9047619047619047,0.8750000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.6923076923076922,0.9585798816568047,0.9514731369150778,0.0,0.0,0.2727272727272727,0.375,0.0,0.0,0.8235294117647058,0.823529411764706,1,Home,0,0.4166666666666667,0.36363636363636365,0.7142857142857143,0.6666666666666667,0.49999999999999994,0.6,0.6666666666666666,0.6363636363636364,1.0,1.0
Rory Sloane,0.6190476190476191,0.5294117647058824,0.6666666666666666,1.0,0.8333333333333334,0.782608695652174,0.3999999999999999,0.35714285714285715,0.3333333333333333,0.33333333333333337,0.0,0.0,0.625,0.7142857142857143,0.02857142857142857,0.03846153846153847,0.0,0.0,0.5714285714285714,0.5714285714285715,0.5555555555555555,0.5555555555555556,0.4444444444444445,0.4444444444444443,0.16666666666666666,0.2,1.0,1.0,0.0,0.0,0.8125000000000001,0.8125,0.8125000000000001,0.7692307692307693,1.0,1.0,0.0,0.0,0.1111111111111111,0.1111111111111111,1.0,1.0,0.5,0.49999999999999994,0.39999999999999997,0.39999999999999997,0.6,0.6,0.7857142857142857,0.7692307692307692,0.7677514792899407,0.7279029462738301,0.33333333333333337,0.3333333333333334,0.5454545454545454,0.75,0.0,0.0,0.8235294117647058,0.823529411764706,1,Home,0,0.5,0.4545454545454545,0.7142857142857143,0.6666666666666667,0.8333333333333333,1.0,0.9166666666666666,0.9090909090909092,0.41666666666666663,0.41666666666666663
Patrick Dangerfield,0.6666666666666667,0.5882352941176471,0.5555555555555555,0.8333333333333334,0.7999999999999999,0.7391304347826088,0.13333333333333333,0.07142857142857144,0.3333333333333333,0.33333333333333337,0.0,0.0,0.5,0.5714285714285715,0.0,0.0,1.0,1.0,0.7142857142857142,0.7142857142857143,0.6666666666666665,0.6666666666666667,0.5555555555555555,0.5555555555555555,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,0.38461538461538464,0.7142857142857143,0.6249999999999999,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.19999999999999998,0.20000000000000004,0.0,0.0,1.0,1.0,0.4,0.4,0.7142857142857143,0.6923076923076922,0.7781065088757396,0.7400346620450606,0.7777777777777779,0.7777777777777779,0.09090909090909093,0.125,0.0,0.0,0.7352941176470588,0.7352941176470589,1,Home,2,0.08333333333333333,0.0,0.14285714285714288,0.0,0.6666666666666666,0.8,0.6666666666666666,0.6363636363636364,0.8333333333333333,0.8333333333333333
Rory Laird,0.6190476190476191,0.5294117647058824,0.5555555555555555,0.8333333333333334,0.7666666666666666,0.6956521739130436,0.4666666666666666,0.42857142857142866,0.16666666666666666,0.16666666666666669,0.0,0.0,0.25,0.28571428571428575,0.0,0.0,0.0,0.0,0.2857142857142857,0.28571428571428575,0.1111111111111111,0.11111111111111112,0.5555555555555555,0.5555555555555555,0.49999999999999994,0.6000000000000001,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.49999999999999994,1.0,1.0,0.9523809523809523,0.9375,0.0,0.0,0.1111111111111111,0.1111111111111111,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.35714285714285715,0.30769230769230765,0.5310650887573964,0.4506065857885615,0.4444444444444445,0.4444444444444445,0.45454545454545453,0.625,0.0,0.0,0.8235294117647058,0.823529411764706,1,Home,0,0.5833333333333333,0.5454545454545454,0.8571428571428571,0.8333333333333334,0.33333333333333337,0.4,0.41666666666666663,0.3636363636363637,0.33333333333333326,0.3333333333333333
Taylor Walker,0.9523809523809524,0.9411764705882353,0.05555555555555557,0.08333333333333333,0.7,0.6086956521739131,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5555555555555555,0.5555555555555555,0.0,0.0,0.25,0.25,0.3333333333333333,0.3333333333333333,0.375,0.37499999999999994,0.9375,0.923076923076923,0.7142857142857143,0.6249999999999999,1.0,1.0,1.0,1.0,0.19999999999999998,0.20000000000000004,0.16666666666666669,0.16666666666666663,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.33333333333333337,0.3333333333333334,0.09090909090909093,0.125,0.0,0.0,0.9558823529411764,0.9558823529411765,1,Home,3,1.0,1.0,0.8571428571428571,0.8333333333333334,0.0,0.0,1.0,1.0,0.5833333333333333,0.5833333333333334
Brodie Smith,0.6190476190476191,0.5294117647058824,0.44444444444444436,0.6666666666666666,0.7,0.6086956521739131,0.3333333333333333,0.2857142857142857,0.16666666666666666,0.16666666666666669,0.0,0.0,0.375,0.42857142857142866,0.0,0.0,0.5,0.5,0.857142857142857,0.8571428571428571,0.3333333333333333,0.33333333333333337,0.6666666666666666,0.6666666666666666,0.8333333333333333,1.0,0.5,0.5,1.0,1.0,0.625,0.6249999999999999,0.6875,0.6153846153846154,0.8571428571428571,0.8125,0.6666666666666666,0.6666666666666666,0.0,0.0,0.39999999999999997,0.4,0.8333333333333333,0.8333333333333334,0.19999999999999998,0.2,0.4,0.4,0.5,0.4615384615384615,0.8254437869822484,0.7954939341421144,0.6666666666666667,0.6666666666666667,0.5454545454545454,0.75,0.0,0.0,0.7205882352941175,0.7205882352941178,1,Home,0,0.25,0.18181818181818182,0.7142857142857143,0.6666666666666667,0.49999999999999994,0.6,0.5,0.4545454545454546,0.33333333333333326,0.3333333333333333
Eddie Betts,0.6666666666666667,0.5882352941176471,0.3333333333333333,0.5,0.6666666666666666,0.5652173913043479,0.5333333333333333,0.5,0.6666666666666667,0.6666666666666667,0.0,0.0,0.875,1.0,0.0,0.0,1.0,1.0,0.5714285714285714,0.5714285714285715,0.22222222222222218,0.22222222222222224,0.7777777777777778,0.7777777777777777,0.16666666666666666,0.2,0.0,0.0,0.6666666666666666,0.6666666666666666,0.4375,0.4374999999999999,0.8750000000000001,0.8461538461538463,0.7142857142857143,0.6249999999999999,0.0,0.0,0.3333333333333333,0.3333333333333333,0.19999999999999998,0.20000000000000004,1.0,1.0,0.39999999999999997,0.39999999999999997,0.0,0.0,0.8571428571428571,0.8461538461538461,0.5458579881656804,0.4679376083188908,0.5555555555555556,0.5555555555555557,0.1818181818181818,0.25,1.0,1.0,0.8823529411764706,0.8823529411764707,1,Home,1,0.6666666666666666,0.6363636363636364,0.7142857142857143,0.6666666666666667,0.6666666666666666,0.8,0.8333333333333331,0.8181818181818183,0.4999999999999999,0.5
Nathan Van Berlo,0.4285714285714286,0.2941176470588235,0.38888888888888884,0.5833333333333334,0.5333333333333333,0.391304347826087,0.26666666666666666,0.21428571428571433,0.0,0.0,0.0,0.0,0.5,0.5714285714285715,0.0,0.0,0.5,0.5,0.857142857142857,0.8571428571428571,0.3333333333333333,0.33333333333333337,0.8888888888888888,0.8888888888888887,0.16666666666666666,0.2,0.25,0.25,0.6666666666666666,0.6666666666666666,0.3125,0.31249999999999994,0.6875,0.6153846153846154,0.6190476190476191,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2857142857142857,0.23076923076923073,0.4319526627218935,0.33448873483535524,0.7777777777777779,0.7777777777777779,0.0,0.0,0.0,0.0,0.75,0.75,1,Home,0,0.3333333333333333,0.2727272727272727,0.5714285714285714,0.5,0.6666666666666666,0.8,0.25,0.18181818181818185,0.33333333333333326,0.3333333333333333
Daniel Talia,0.28571428571428575,0.11764705882352938,0.5555555555555555,0.8333333333333334,0.5333333333333333,0.391304347826087,0.26666666666666666,0.21428571428571433,0.0,0.0,0.0,0.0,0.25,0.28571428571428575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.8888888888888887,0.3333333333333333,0.4,0.25,0.25,1.0,1.0,0.375,0.37499999999999994,0.5625000000000001,0.4615384615384615,0.7142857142857143,0.6249999999999999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2142857142857143,0.15384615384615383,0.27514792899408286,0.1507798960138648,0.7777777777777779,0.7777777777777779,0.3636363636363636,0.5,0.0,0.0,1.0,1.0,1,Home,0,0.3333333333333333,0.2727272727272727,0.5714285714285714,0.5,0.33333333333333337,0.4,0.25,0.18181818181818185,0.16666666666666663,0.16666666666666666
Kyle Hartigan,0.2380952380952381,0.05882352941176466,0.5555555555555555,0.8333333333333334,0.5,0.3478260869565218,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.49999999999999994,0.6000000000000001,0.0,0.0,1.0,1.0,0.375,0.37499999999999994,0.5625000000000001,0.4615384615384615,0.6190476190476191,0.5,0.0,0.0,0.0,0.0,0.39999999999999997,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.23076923076923073,0.14644970414201183,0.0,0.888888888888889,0.888888888888889,0.7272727272727272,1.0,0.0,0.0,0.9852941176470588,0.9852941176470589,1,Home,0,0.4166666666666667,0.36363636363636365,0.7142857142857143,0.6666666666666667,0.0,0.0,0.3333333333333333,0.27272727272727276,0.24999999999999994,0.25
