Player,Kicks BTN,Kicks OTN,Handballs BTN,Handballs OTN,Disposals BTN,Disposals OTN,Marks BTN,Marks OTN,Goals BTN,Goals OTN,Behinds BTN,Behinds OTN,Tackles BTN,Tackles OTN,Hitouts BTN,Hitouts OTN,Goal Assists BTN,Goal Assists OTN,Inside 50s BTN,Inside 50s OTN,Clearances BTN,Clearances OTN,Clangers BTN,Clangers OTN,Rebound 50s BTN,Rebound 50s OTN,Frees For BTN,Frees For OTN,Frees Agains BTN,Frees Agains OTN,Contested Possessions BTN,Contested Possessions OTN,Uncontested Possessions BTN,Uncontested Possessions OTN,Effective Disposals BTN,Effective Disposals OTN,Contested Marks BTN,Contested Marks OTN,Marks Inside 50 BTN,Marks Inside 50 OTN,One Percenters BTN,One Percenters OTN,Bounces BTN,Bounces OTN,Centre Clearances BTN,Centre Clearances OTN,Stoppage Clearances BTN,Stoppage Clearances OTN,Score Involvements BTN,Score Involvements OTN,Metres Gained BTN,Metres Gained OTN,Turnovers BTN,Turnovers OTN,Intercepts BTN,Intercepts OTN,Tackles Inside 50 BTN,Tackles Inside 50 OTN,Time On Ground % BTN,Time On Ground % OTN,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTN,Uncontested Marks OTN,Marks Outside 50 BTN,Marks Outside 50 OTN,Tackles Outside 50 BTN,Tackles Outside 50 OTN,Behind Assists BTN,Behind Assists OTN,Ineffective Disposals BTN,Ineffective Disposals OTN
Dane Swan,2.050655982678333,2.242461499763803,2.302312082477702,2.389480645633475,2.8379181180580213,2.675604744771688,0.9968331214810706,1.5815026866832036,-0.536127927905471,-0.4442446168855182,0.8465616732800196,0.915498482950034,-0.15075567228888176,-0.31724438812564404,-0.2810716305639981,-0.31489308570638713,-0.49760911260663404,-0.46056618647183845,2.987396705944608,2.4944780691738653,2.9558188920453543,2.417874437829677,0.5490007915831073,0.6962915025523446,0.7781456624904407,1.3528625777033665,-0.8603388251317318,-0.7385489458759966,-0.35964554742982197,-0.3882237799894312,1.8236778489482253,1.9041113052109173,2.769755281548976,2.696977333132068,2.8833475444281067,2.767754720815236,-0.9204888847654803,-0.681449531787545,-0.6177311399075426,-0.4722548453033483,-0.8117726438442513,-0.8326573549011415,-0.35878800366473557,-0.2929530985185336,2.523394219803755,1.8015145143613323,2.7229878362927438,2.659862084800719,1.4366674036582163,1.755771980414579,2.3687808191486917,2.3103988263723907,-2.0379022622193963,-1.8497174231364493,-0.5048253468098558,-0.6354889093022424,-0.620941867473854,-0.6358286521275288,0.22559802302234158,0.260901503442245,0,Home,2,1.6539005128072835,2.1643008111055004,1.3575187449376687,2.0056163851244495,0.044727601046090436,-0.0947837392132813,1.6367518949295954,1.8835542272200965,1.511860124390162,1.3632823103099663
Steele Sidebottom,0.35280102927799284,0.5243566690989988,1.6402092613730035,1.7067718897381963,1.3352899929731483,1.3130282543786989,-0.2563285169522754,0.06876098637753053,-0.536127927905471,-0.4442446168855182,0.8465616732800196,0.915498482950034,-0.592972311002935,-0.7534554217984046,-0.2810716305639981,-0.31489308570638713,-0.49760911260663404,-0.46056618647183845,-0.6930760357791492,-0.761027207544569,0.15891499419598676,0.07111395405381404,-0.1830002638610358,-0.20479161839774843,1.8316351747851911,2.770147182916417,-0.8603388251317318,-0.7385489458759966,0.9590547931461919,1.03526341330515,0.07929034125861843,0.18258601556817022,1.5408218457020355,1.5259213858510385,1.2066872983289434,1.2326974806992228,0.17414654576644217,0.5678746098229542,0.3889418288306749,0.5667058143640179,-0.8117726438442513,-0.8326573549011415,0.8555713933543694,0.627756639682572,-0.47739890644935906,-0.5298572101062741,0.5834973934913021,0.5699704467430111,0.23641362338679506,0.5229959090596619,0.23489859933619348,0.32109376660446964,-0.7383703848620999,-0.5911468053322673,-0.11513560541277412,0.0,0.8170287729919132,0.5298572101062741,0.1556944102548556,0.1822736530897875,0,Home,0,-0.39600434813695534,-0.18703834170047545,-0.45250624831255626,-0.22848794260911454,-0.9392796219679,-1.1374048705593764,0.3732942918260482,0.6150381150106436,1.0683811545690478,0.9633861659523761
Taylor Adams,1.0804531521638527,1.2606873108124863,0.9781064402683048,1.0240631338429178,1.3352899929731483,1.3130282543786989,0.9968331214810706,1.5815026866832036,0.6433535134865652,0.9519527504689677,0.8465616732800196,0.915498482950034,1.6181108825673314,1.4275997465653987,-0.2810716305639981,-0.31489308570638713,-0.49760911260663404,-0.46056618647183845,0.8842694249596039,0.6341893396204743,2.9558188920453543,2.417874437829677,-0.9150013193051789,-1.1058747393478414,-0.27534384980430976,-0.06442202750968405,0.3226270594243994,0.2769558547034987,-1.678345888005836,-1.8117109732840122,2.405140351511428,2.4779530684251663,0.10706617054727148,0.15968944735650406,0.8340961325291292,0.8915736495623309,0.17414654576644217,0.5678746098229542,-0.6177311399075426,-0.4722548453033483,-0.4104468423931608,-0.47347182925751186,-0.35878800366473557,-0.2929530985185336,4.523922970639164,3.3557623306730697,1.296660874425116,1.266600992762247,0.6364982168106021,0.9339212661779676,0.8590954391452916,0.9029993283052901,-2.0379022622193963,-1.8497174231364493,-1.2842048296040192,-1.9064667279067276,0.8170287729919132,0.5298572101062741,0.22559802302234158,0.260901503442245,0,Home,0,1.1414242975712239,1.5764660229040066,1.3575187449376687,2.0056163851244495,1.520738435567076,1.4691479578058615,0.7944468261938973,1.0378768190804613,1.955339094211276,1.7631784546675562
Jack Crisp,1.323003859792473,1.5061308580503154,0.536704559531839,0.5689239632460654,1.185027180464661,1.1767706053394,-0.2563285169522754,0.06876098637753053,-0.536127927905471,-0.4442446168855182,-0.8465616732800196,-0.7629154024583616,-0.15075567228888176,-0.31724438812564404,-0.2810716305639981,-0.31489308570638713,-0.49760911260663404,-0.46056618647183845,1.935833065452106,1.5643337043971697,0.625065643837548,0.46224070134979117,-1.647002374749322,-2.0069578602979345,0.7781456624904407,1.3528625777033665,-0.8603388251317318,-0.7385489458759966,0.9590547931461919,1.03526341330515,0.07929034125861843,0.18258601556817022,1.3359996063942121,1.3307453946375336,0.6478005496292222,0.721011733993885,-0.9204888847654803,-0.681449531787545,-0.6177311399075426,-0.4722548453033483,-0.4104468423931608,-0.47347182925751186,-0.35878800366473557,-0.2929530985185336,0.5228654689683456,0.24726669804959464,0.5834973934913021,0.5699704467430111,-0.163670970037012,0.11207055194135618,1.9260365490515408,1.8976518581892505,-0.7383703848620999,-0.5911468053322673,-0.11513560541277412,0.0,-0.620941867473854,-0.6358286521275288,0.2955016357898276,0.33952935379470256,0,Home,0,0.11647186709910437,0.40079644650101853,0.0,0.33003813932427645,0.044727601046090436,-0.0947837392132813,-0.0478582425418009,0.19219941094082615,1.955339094211276,1.7631784546675562
Scott Pendlebury,0.5953517369066128,0.7698002163368279,0.9781064402683048,1.0240631338429178,1.0347643679561738,1.040512956300101,-1.5094901553856213,-1.4439807139281424,0.6433535134865652,0.9519527504689677,-0.8465616732800196,-0.7629154024583616,1.6181108825673314,1.4275997465653987,-0.2810716305639981,-0.31489308570638713,-0.49760911260663404,-0.46056618647183845,0.8842694249596039,0.6341893396204743,2.0235175927622318,1.6356209432377224,-0.9150013193051789,-1.1058747393478414,-0.27534384980430976,-0.06442202750968405,2.6885588285366615,2.3079654558624894,-0.35964554742982197,-0.3882237799894312,1.8236778489482253,1.9041113052109173,0.7215328884707418,0.7452174209970188,1.2066872983289434,1.2326974806992228,-0.9204888847654803,-0.681449531787545,-0.6177311399075426,-0.4722548453033483,-0.00912104094207032,-0.11428630361388221,-0.35878800366473557,-0.2929530985185336,1.5231298443860504,1.0243906062054635,2.00982435535893,1.963231538781483,0.23641362338679506,0.5229959090596619,-0.07719982056835561,0.030140985754059494,-1.6047249697669639,-1.4301938838683885,-0.5048253468098558,-0.6354889093022424,-0.620941867473854,-0.6358286521275288,0.22559802302234158,0.260901503442245,0,Home,0,-1.4209567786090747,-1.3627079181034634,-1.3575187449376687,-1.3455401064758965,2.012742047074071,1.9904585234789092,0.3732942918260482,0.6150381150106436,0.18142321492681945,0.16359387723719596
Levi Greenwood,0.5953517369066128,0.7698002163368279,0.31600361916360614,0.34135437794763923,0.5839759304307119,0.6317400091822042,0.1613920291921733,0.5730082198127548,-0.536127927905471,-0.4442446168855182,-0.8465616732800196,-0.7629154024583616,2.5025441599954377,2.30002181391092,-0.11394795833675599,-0.12245842221915056,1.186606345446589,2.072547839123273,0.8842694249596039,0.6341893396204743,0.625065643837548,0.46224070134979117,0.5490007915831073,0.6962915025523446,-0.802088605951685,-0.7730643301162093,1.5055929439805307,1.292460655282994,-0.35964554742982197,-0.3882237799894312,0.9514840951034219,1.0433486603895437,0.10706617054727148,0.15968944735650406,0.275209383829408,0.3798879028569931,1.2687819762983648,1.8171987514334533,0.3889418288306749,0.5667058143640179,-0.4104468423931608,-0.47347182925751186,-0.35878800366473557,-0.2929530985185336,1.5231298443860504,1.0243906062054635,-0.12966608744251165,-0.12666009927622474,0.23641362338679506,0.5229959090596619,0.20586618818228192,0.2940283916416408,0.561161492495196,0.6674238124719146,-0.11513560541277412,0.0,3.6929700539234482,2.8612289345738797,0.01588718471988363,0.025017952384872442,0,Home,0,-0.39600434813695534,-0.18703834170047545,0.0,0.33003813932427645,1.520738435567076,1.4691479578058615,-0.0478582425418009,0.19219941094082615,1.0683811545690478,0.9633861659523761
Marley Williams,0.5953517369066128,0.7698002163368279,-0.5668001423093254,-0.5689239632460654,-0.017075319603237143,0.08670941302500845,-0.2563285169522754,0.06876098637753053,-0.536127927905471,-0.4442446168855182,-0.8465616732800196,-0.7629154024583616,-1.0351889497169884,-1.1896664554711653,-0.2810716305639981,-0.31489308570638713,-0.49760911260663404,-0.46056618647183845,1.935833065452106,1.5643337043971697,0.15891499419598676,0.07111395405381404,0.5490007915831073,0.6962915025523446,0.7781456624904407,1.3528625777033665,-0.8603388251317318,-0.7385489458759966,-0.35964554742982197,-0.3882237799894312,-0.21144091002298274,-0.10433486603895427,0.5167106491629183,0.5500414297835139,0.08891380092950098,0.20932598728854718,-0.9204888847654803,-0.681449531787545,-0.6177311399075426,-0.4722548453033483,0.3922047605090202,0.24489922202974743,5.7130089814307885,4.310595592486994,-0.47739890644935906,-0.5298572101062741,0.5834973934913021,0.5699704467430111,-0.9638401568846261,-0.7097801622952552,1.8244231100128505,1.8029230458193497,-1.171547677314532,-1.010670344600328,0.2745541359843076,0.6354889093022424,-0.620941867473854,-0.6358286521275288,0.1556944102548556,0.1822736530897875,0,Home,0,0.11647186709910437,0.40079644650101853,0.0,0.33003813932427645,-0.9392796219679,-1.1374048705593764,-0.890163311277499,-0.6534779971988088,-0.26205575489429467,-0.2363022671203941
Alex Fasolo,0.8379024445352329,1.0152437635746572,-1.0082020230457913,-1.0240631338429178,-0.16733813211172444,-0.04954823601429048,1.4145536676255193,2.085749920118428,3.002316396270638,3.7443474851779386,2.539685019840059,2.59391236835843,0.2914609664251715,0.11896664554711663,-0.2810716305639981,-0.31489308570638713,1.186606345446589,2.072547839123273,-0.16729421553289814,-0.29595502515622124,-0.7733863050871358,-0.7111395405381402,-1.647002374749322,-2.0069578602979345,-0.802088605951685,-0.7730643301162093,2.6885588285366615,2.3079654558624894,-1.678345888005836,-1.8117109732840122,0.07929034125861843,0.18258601556817022,-0.5074005473761989,-0.4258385262840107,-0.09738178197040608,0.03876407172010124,2.3634174068302873,3.0665228930439525,3.4089607350453273,3.683587793366117,-0.8117726438442513,-0.8326573549011415,-0.35878800366473557,-0.2929530985185336,-0.47739890644935906,-0.5298572101062741,-0.8428295683763255,-0.8232906452954606,1.8367519970820234,2.166697337532885,0.48167409414444157,0.5511494537885149,-0.7383703848620999,-0.5911468053322673,-0.11513560541277412,0.0,0.8170287729919132,0.5298572101062741,0.0857907974873696,0.10364580273732997,0,Home,0,0.6289480823351641,0.9886312347025126,0.0,0.33003813932427645,0.044727601046090436,-0.0947837392132813,1.6367518949295954,1.8835542272200965,-0.26205575489429467,-0.2363022671203941
Sam Dwyer,-0.6174018012364871,-0.45741751985231793,0.31600361916360614,0.34135437794763923,-0.16733813211172444,-0.04954823601429048,0.1613920291921733,0.5730082198127548,-0.536127927905471,-0.4442446168855182,-0.8465616732800196,-0.7629154024583616,-0.592972311002935,-0.7534554217984046,-0.2810716305639981,-0.31489308570638713,-0.49760911260663404,-0.46056618647183845,0.8842694249596039,0.6341893396204743,-0.7733863050871358,-0.7111395405381402,0.5490007915831073,0.6962915025523446,-0.27534384980430976,-0.06442202750968405,-0.8603388251317318,-0.7385489458759966,0.9590547931461919,1.03526341330515,-1.0836346638677863,-0.9650975108603278,0.5167106491629183,0.5500414297835139,-0.4699729477702202,-0.3023597594167906,0.17414654576644217,0.5678746098229542,-0.6177311399075426,-0.4722548453033483,-0.8117726438442513,-0.8326573549011415,-0.35878800366473557,-0.2929530985185336,-0.47739890644935906,-0.5298572101062741,-0.12966608744251165,-0.12666009927622474,0.23641362338679506,0.5229959090596619,-0.7957519966276663,-0.6397270445759546,0.561161492495196,0.6674238124719146,-0.8945150882069376,-1.2709778186044849,-0.620941867473854,-0.6358286521275288,-0.12392004081508834,-0.1322377483200426,0,Home,0,0.11647186709910437,0.40079644650101853,0.45250624831255626,0.8885642212576674,-0.44727601046090476,-0.6160943048863289,0.3732942918260482,0.6150381150106436,0.6249021847479336,0.563490021594786
Matthew Scharenberg,-0.6174018012364871,-0.45741751985231793,0.31600361916360614,0.34135437794763923,-0.16733813211172444,-0.04954823601429048,-1.0917696092411726,-0.9397334804929182,-0.536127927905471,-0.4442446168855182,-0.8465616732800196,-0.7629154024583616,-1.4774055884310415,-1.625877489143926,-0.2810716305639981,-0.31489308570638713,-0.49760911260663404,-0.46056618647183845,-0.16729421553289814,-0.29595502515622124,-0.7733863050871358,-0.7111395405381402,0.5490007915831073,0.6962915025523446,-0.802088605951685,-0.7730643301162093,0.3226270594243994,0.2769558547034987,-0.35964554742982197,-0.3882237799894312,-0.5021721613045839,-0.3912557476460788,0.10706617054727148,0.15968944735650406,-0.09738178197040608,0.03876407172010124,-0.9204888847654803,-0.681449531787545,-0.6177311399075426,-0.4722548453033483,0.7935305619601107,0.604084747673377,-0.35878800366473557,-0.2929530985185336,-0.47739890644935906,-0.5298572101062741,-0.8428295683763255,-0.8232906452954606,-1.3639247503084333,-1.120705519413561,-0.3892982404729047,-0.26081179509635066,0.561161492495196,0.6674238124719146,0.2745541359843076,0.6354889093022424,-0.620941867473854,-0.6358286521275288,0.22559802302234158,0.260901503442245,0,Home,0,-0.9084805633730151,-0.7748731299019694,-0.9050124966251125,-0.7870140245425056,-1.4312832334748953,-1.6587154362324241,-1.3113158456453482,-1.0763167012686263,-0.26205575489429467,-0.2363022671203941
Brayden Maynard,0.11025032164937285,0.2789131218611696,-0.34609920194109256,-0.34135437794763923,-0.16733813211172444,-0.04954823601429048,0.1613920291921733,0.5730082198127548,-0.536127927905471,-0.4442446168855182,-0.8465616732800196,-0.7629154024583616,0.7336776051392248,0.5551776792198773,-0.2810716305639981,-0.31489308570638713,-0.49760911260663404,-0.46056618647183845,-0.16729421553289814,-0.29595502515622124,-0.7733863050871358,-0.7111395405381402,-0.9150013193051789,-1.1058747393478414,-0.802088605951685,-0.7730643301162093,-0.8603388251317318,-0.7385489458759966,0.9590547931461919,1.03526341330515,-0.792903412586185,-0.6781766292532033,0.3118884098550949,0.35486543857000896,-0.4699729477702202,-0.3023597594167906,-0.9204888847654803,-0.681449531787545,-0.6177311399075426,-0.4722548453033483,-0.4104468423931608,-0.47347182925751186,-0.35878800366473557,-0.2929530985185336,-0.47739890644935906,-0.5298572101062741,-0.8428295683763255,-0.8232906452954606,-1.3639247503084333,-1.120705519413561,-0.07719982056835561,0.030140985754059494,-0.7383703848620999,-0.5911468053322673,-0.11513560541277412,0.0,-0.620941867473854,-0.6358286521275288,0.1556944102548556,0.1822736530897875,0,Home,0,0.6289480823351641,0.9886312347025126,0.45250624831255626,0.8885642212576674,1.0287348240600809,0.9478373921328139,-1.3113158456453482,-1.0763167012686263,0.6249021847479336,0.563490021594786
