Player,Kicks BTN,Kicks OTN,Handballs BTN,Handballs OTN,Disposals BTN,Disposals OTN,Marks BTN,Marks OTN,Goals BTN,Goals OTN,Behinds BTN,Behinds OTN,Tackles BTN,Tackles OTN,Hitouts BTN,Hitouts OTN,Goal Assists BTN,Goal Assists OTN,Inside 50s BTN,Inside 50s OTN,Clearances BTN,Clearances OTN,Clangers BTN,Clangers OTN,Rebound 50s BTN,Rebound 50s OTN,Frees For BTN,Frees For OTN,Frees Agains BTN,Frees Agains OTN,Contested Possessions BTN,Contested Possessions OTN,Uncontested Possessions BTN,Uncontested Possessions OTN,Effective Disposals BTN,Effective Disposals OTN,Contested Marks BTN,Contested Marks OTN,Marks Inside 50 BTN,Marks Inside 50 OTN,One Percenters BTN,One Percenters OTN,Bounces BTN,Bounces OTN,Centre Clearances BTN,Centre Clearances OTN,Stoppage Clearances BTN,Stoppage Clearances OTN,Score Involvements BTN,Score Involvements OTN,Metres Gained BTN,Metres Gained OTN,Turnovers BTN,Turnovers OTN,Intercepts BTN,Intercepts OTN,Tackles Inside 50 BTN,Tackles Inside 50 OTN,Time On Ground % BTN,Time On Ground % OTN,Winloss,HomeAway,Brownlow Votes,Uncontested Marks BTN,Uncontested Marks OTN,Marks Outside 50 BTN,Marks Outside 50 OTN,Tackles Outside 50 BTN,Tackles Outside 50 OTN,Behind Assists BTN,Behind Assists OTN,Ineffective Disposals BTN,Ineffective Disposals OTN
Scott Thompson,0.40279287943421216,0.22939273825742598,2.8639440923108674,2.314778851465191,2.0323442973979295,1.673875067072434,-1.2056775486356013,-1.2151388809514738,-0.5686553313969479,-0.6236095644623235,0.6078514825617789,0.24726669804959464,3.2296583517931006,2.596466797699922,-0.2726411472114458,-0.2305155696695615,-0.5340869420550669,-0.6257862187747442,0.7021725763689677,0.27667870981700426,1.82871192323178,1.3848178624673722,-2.64902352477498,-2.6527502050537457,-0.43284891226917105,-0.2283495317824142,1.0493303753318128,1.0465878298474032,-1.323773494413673,-1.7785110638615873,2.778860068530592,2.202985002417466,0.7923676319755942,0.6239591459147462,2.101538433090806,1.7711615141184407,-0.5449962048991043,-0.6154574548966636,-0.44634126964612486,-0.44739353596475334,-0.8813409214394545,-0.788099170099874,-0.3126136157099889,-0.30895719032666236,4.254220836829424,3.4177547843275,0.4022438568945359,0.15836416998141348,0.5799766322090361,0.20810308610838535,0.6366501805022375,0.4621140741952087,-1.7321494925949525,-1.831452834689878,1.3719155195765764,1.3483401653193556,1.8608742329165535,1.3747645302568818,0.2786922910387363,0.2757616872987482,1,Home,0,-1.0707675939488241,-1.1252851763867069,-1.1025032164937274,-1.0798928167489181,2.70333891076644,2.2038523854426937,0.7078051584246121,0.32517826751729223,1.2685304328963865,1.016721171081171
Patrick Dangerfield,1.56877226727009,1.49105279867327,1.5328151479973655,1.1914302911953187,1.8934884758365804,1.5477611921560177,0.5195195941275356,0.4050462936504913,0.7482306992065103,0.6236095644623235,1.6365232222817125,1.0243906062054635,0.922759529083743,0.6130546605680371,0.016424165494665393,0.016866992902650854,-0.5340869420550669,-0.6257862187747442,2.1733913078087097,1.5810211989543104,2.6892822400467353,2.118938175100678,0.7960119951294274,0.6198014497789125,0.06834456509513233,0.48932042524803054,0.10707452809508293,0.0455038186890175,1.0536156384108826,1.2312768903657145,2.5230654178708725,1.9856501591296443,0.7923676319755942,0.6239591459147462,1.5411281842665912,1.2606957502240428,0.5969006053656856,0.7385489458759963,-0.44634126964612486,-0.44739353596475334,-0.4896338452441414,-0.41118217570428206,-0.3126136157099889,-0.30895719032666236,1.8847813834054408,1.4390546460326317,2.7620744840091462,2.1492280211763264,2.1503748978827337,1.616800899765148,1.8997686638976141,1.6854700050522342,0.6347628575347962,0.5668782583563907,0.9969820856550276,0.9631001180852541,-0.7247615433464472,-0.8382710550346842,0.1461251471932833,0.1438756629384775,1,Home,3,0.3149316452790658,0.20094378149762623,0.8379024445352327,0.7834516513668621,1.586466496928662,1.2624008809817373,2.3049039774339932,1.6878300552088032,2.017729614741232,1.7268121477092904
Rory Sloane,0.1695970018670366,-0.022939273825742824,2.420234444206367,1.9403293313752334,1.615776832713882,1.2955334423231852,0.08822030843675134,0.0,-0.5686553313969479,-0.6236095644623235,-0.42082025715815474,-0.5298572101062741,0.922759529083743,0.6130546605680371,-0.2726411472114458,-0.2305155696695615,1.2735919387466978,1.0951258828558021,1.6829850639954622,1.146240369241875,1.3984267648243023,1.0177577061507193,0.22183940847869285,0.07437617397346943,-0.9340423896334744,-0.9460194888128589,0.10707452809508293,0.0455038186890175,-0.1350789280013952,-0.27361708674793644,2.2672707672111527,1.7683153158418226,0.7923676319755942,0.6239591459147462,1.5411281842665912,1.2606957502240428,-0.5449962048991043,-0.6154574548966636,-0.44634126964612486,-0.44739353596475334,0.6854873833417979,0.7195688074824936,-0.3126136157099889,-0.30895719032666236,0.7000616566934494,0.4497045768851974,1.582159170451841,1.15379609557887,1.3651757650458851,0.9124519929367666,0.33175951209645693,0.16682126329868532,0.16138038750884648,0.08721203974713697,1.746848953498125,1.7335802125534574,2.7227528250042203,2.1124430586874037,-0.11900914049762264,-0.11989638578206396,1,Home,0,0.3149316452790658,0.20094378149762623,0.3528010292779926,0.317615534337917,-0.6472783307468941,-0.620502127940176,1.1070798631769574,0.66584121444017,1.2685304328963865,1.016721171081171
Matt Crouch,0.40279287943421216,0.22939273825742598,1.754669972049616,1.3786550512402975,1.3380651895911835,1.0433056924903528,-0.7743782629448172,-0.8100925873009825,-0.5686553313969479,-0.6236095644623235,-0.42082025715815474,-0.5298572101062741,1.845519058167486,1.4064195154207912,-0.2726411472114458,-0.2305155696695615,-0.5340869420550669,-0.6257862187747442,0.7021725763689677,0.27667870981700426,2.6892822400467353,2.118938175100678,-1.500678351473511,-1.5618996534428597,0.06834456509513233,0.48932042524803054,-0.8351813191416467,-0.9555801924693683,-0.1350789280013952,-0.27361708674793644,1.2440921645722736,0.8989759426905355,0.9962517010219459,0.8229026417136508,0.9807179354423762,0.7502299863296451,-0.5449962048991043,-0.6154574548966636,-0.44634126964612486,-0.44739353596475334,-0.8813409214394545,-0.788099170099874,-0.3126136157099889,-0.30895719032666236,1.8847813834054408,1.4390546460326317,2.1721168272304934,1.6515120583775982,0.9725761986274606,0.560277539522576,0.5744275951133027,0.4018502352367346,-1.2587670225690029,-1.3517866160806242,-0.8776850839527165,-0.9631001180852541,0.1371170487412197,-0.10059252660416218,-0.582994143956708,-0.5814974710430115,1,Home,0,-0.6088678475395275,-0.6832088570919291,-0.6174018012364874,-0.6140566997199731,2.144902703847551,1.7331266332122155,1.1070798631769574,0.66584121444017,1.6431300238188091,1.3717666593952307
Rory Atkins,0.6359887570013877,0.4817247503405948,1.3109603239451153,1.0042055311503402,1.1992093680298341,0.9171918175739365,0.9508188798183198,0.8100925873009825,-0.5686553313969479,-0.6236095644623235,-0.42082025715815474,-0.5298572101062741,-1.3841392936256145,-1.3703574765638478,-0.2726411472114458,-0.2305155696695615,-0.5340869420550669,-0.6257862187747442,0.7021725763689677,0.27667870981700426,0.1075712896018694,-0.0834227627992392,0.7960119951294274,0.6198014497789125,1.0707315198237393,1.9246603393089199,-0.8351813191416467,-0.9555801924693683,-0.1350789280013952,-0.27361708674793644,-0.03488108872632551,-0.18769827374857326,1.607903908161001,1.4197331291103645,1.9147350168160677,1.6010062594869747,-0.5449962048991043,-0.6154574548966636,-0.44634126964612486,-0.44739353596475334,0.29378030714648484,0.34265181308690174,-0.3126136157099889,-0.30895719032666236,0.7000616566934494,0.4497045768851974,-0.1877137998841167,-0.3393517928173147,0.1873770657906116,-0.14407136730580528,0.6926505073522788,0.5163515292578355,0.6347628575347962,0.5668782583563907,1.3719155195765764,1.3483401653193556,-0.7247615433464472,-0.8382710550346842,-0.05272556857489615,-0.053953373601928596,1,Home,0,1.2387311380976591,1.0850964200871815,1.3230038597924727,1.2492877683958072,-1.2057145376657832,-1.0912278801706543,0.3085304536722669,-0.015484679405585488,-0.6044675217157276,-0.7585062704891278
Ricky Henderson,1.56877226727009,1.49105279867327,0.20168620368386392,0.06808173092544673,1.060353546468485,0.7910779426575202,2.244716736890673,2.025231468252456,-0.5686553313969479,-0.6236095644623235,-0.42082025715815474,-0.5298572101062741,0.0,-0.18031019428471684,-0.2726411472114458,-0.2305155696695615,1.2735919387466978,1.0951258828558021,1.6829850639954622,1.146240369241875,0.5378564480093471,0.2836373935174136,0.7960119951294274,0.6198014497789125,0.5695380424594357,1.2069903822784753,0.10707452809508293,0.0455038186890175,1.0536156384108826,1.2312768903657145,-0.03488108872632551,-0.18769827374857326,1.8117879772073526,1.6186766249092692,1.1675213517171144,0.920385240961111,-0.5449962048991043,-0.6154574548966636,-0.44634126964612486,-0.44739353596475334,0.29378030714648484,0.34265181308690174,3.1261361570998893,3.089571903266623,-0.484658070018542,-0.5396454922622368,0.9922015136731885,0.6560801327801417,-0.5978220670462374,-0.8484202741341865,1.2215424831582247,1.0285941604048658,-0.31200208251710326,-0.39245417886211675,-0.8776850839527165,-0.9631001180852541,-0.7247615433464472,-0.8382710550346842,0.34497586296146276,0.3417046994788836,1,Home,0,2.6244303773255493,2.4113253779715147,2.7783081055641925,2.6467961194826426,0.4695940830908839,0.3209493765207806,-0.8892936605847689,-1.0374735201742187,0.5193312510515408,0.3066301944530515
Jarryd Lyons,1.3355763897029143,1.2387207865901013,0.4235410277361142,0.2553064909704254,1.060353546468485,0.7910779426575202,-0.7743782629448172,-0.8100925873009825,-0.5686553313969479,-0.6236095644623235,-0.42082025715815474,-0.5298572101062741,0.922759529083743,0.6130546605680371,-0.2726411472114458,-0.2305155696695615,3.0812708195484624,2.816037984486348,0.7021725763689677,0.27667870981700426,1.82871192323178,1.3848178624673722,0.22183940847869285,0.07437617397346943,-0.43284891226917105,-0.2283495317824142,1.0493303753318128,1.0465878298474032,-0.1350789280013952,-0.27361708674793644,1.2440921645722736,0.8989759426905355,0.7923676319755942,0.6239591459147462,0.9807179354423762,0.7502299863296451,-0.5449962048991043,-0.6154574548966636,-0.44634126964612486,-0.44739353596475334,-0.8813409214394545,-0.788099170099874,-0.3126136157099889,-0.30895719032666236,0.7000616566934494,0.4497045768851974,2.7620744840091462,2.1492280211763264,0.9725761986274606,0.560277539522576,0.3442040291742439,0.17887403109038016,1.108145327560746,1.0465444769656445,-0.8776850839527165,-0.9631001180852541,0.9989956408288867,0.6370860018263599,-0.3178598562658021,-0.3177254223224701,1,Home,0,-0.6088678475395275,-0.6832088570919291,-0.6174018012364874,-0.6140566997199731,0.4695940830908839,0.3209493765207806,0.3085304536722669,-0.015484679405585488,0.8939308419739636,0.6616756827671112
Rory Laird,0.8691846345685632,0.7340567624237636,0.8672506758406148,0.6297560110603827,1.060353546468485,0.7910779426575202,1.382118165509104,1.2151388809514738,-0.5686553313969479,-0.6236095644623235,-0.42082025715815474,-0.5298572101062741,0.0,-0.18031019428471684,-0.2726411472114458,-0.2305155696695615,-0.5340869420550669,-0.6257862187747442,0.21176633255572033,-0.1581021198954311,-0.7529990272130859,-0.8175430754325448,0.22183940847869285,0.07437617397346943,1.0707315198237393,1.9246603393089199,-0.8351813191416467,-0.9555801924693683,1.0536156384108826,1.2312768903657145,-0.8022650407054849,-0.8397028036120385,2.0156720462537043,1.8176201207081737,1.3543247679918526,1.0905404955925768,-0.5449962048991043,-0.6154574548966636,-0.44634126964612486,-0.44739353596475334,-0.4896338452441414,-0.41118217570428206,-0.3126136157099889,-0.30895719032666236,-0.484658070018542,-0.5396454922622368,-0.7776714566627693,-0.8370677556160429,0.5799766322090361,0.20810308610838535,0.8793182635190833,0.697143046133258,-0.7853845525430531,-0.8721203974713705,1.3719155195765764,1.3483401653193556,-0.7247615433464472,-0.8382710550346842,0.21240871911600978,0.20981867511861288,1,Home,0,1.7006308845069558,1.5271727393819594,1.8081052750497126,1.7151238854247524,0.4695940830908839,0.3209493765207806,0.7078051584246121,0.32517826751729223,0.144731660129118,-0.04841529386100826
Taylor Walker,1.3355763897029143,1.2387207865901013,-0.02016862036838637,-0.11914302911953194,0.7826419033457865,0.5388501928246877,2.676016022581457,2.4302777619029476,2.0651167298099686,1.8708286933869707,4.722538441441514,3.3557623306730697,0.0,-0.18031019428471684,-0.2726411472114458,-0.2305155696695615,-0.5340869420550669,-0.6257862187747442,2.1733913078087097,1.5810211989543104,-0.7529990272130859,-0.8175430754325448,-2.0748509381242455,-2.107324929248303,-0.9340423896334744,-0.9460194888128589,1.9915862225685423,2.0476718410057893,-0.1350789280013952,-0.27361708674793644,0.4767082125931141,0.24697141282707025,0.7923676319755942,0.6239591459147462,0.04670085406868458,-0.10054628682768454,1.7387974156304755,2.0925553466486564,3.8230100052298526,2.833492394443438,-0.09792676904882829,-0.03426518130869014,3.1261361570998893,3.089571903266623,-0.484658070018542,-0.5396454922622368,-0.7776714566627693,-0.8370677556160429,2.5429744643011585,1.9689753531793386,1.6446560638029815,1.4383882653224902,-1.7321494925949525,-1.831452834689878,-0.8776850839527165,-0.9631001180852541,0.9989956408288867,0.6370860018263599,0.5438265787296422,0.5395337360192897,1,Home,1,2.1625306309162524,1.9692490586767373,0.8379024445352327,0.7834516513668621,-0.6472783307468941,-0.620502127940176,2.7041786821863387,2.0284930021316807,2.017729614741232,1.7268121477092904
Nathan Van Berlo,0.40279287943421216,0.22939273825742598,-0.02016862036838637,-0.11914302911953194,0.22721861710038968,0.034394693159022695,-0.7743782629448172,-0.8100925873009825,-0.5686553313969479,-0.6236095644623235,-0.42082025715815474,-0.5298572101062741,0.4613797645418715,0.21637223314166015,-0.2726411472114458,-0.2305155696695615,1.2735919387466978,1.0951258828558021,1.192578820182215,0.7114595395294396,-0.7529990272130859,-0.8175430754325448,0.22183940847869285,0.07437617397346943,0.5695380424594357,1.2069903822784753,0.10707452809508293,0.0455038186890175,-0.1350789280013952,-0.27361708674793644,-0.03488108872632551,-0.18769827374857326,0.3845994938828908,0.22607215431693709,0.04670085406868458,-0.10054628682768454,-0.5449962048991043,-0.6154574548966636,-0.44634126964612486,-0.44739353596475334,-0.09792676904882829,-0.03426518130869014,-0.3126136157099889,-0.30895719032666236,-0.484658070018542,-0.5396454922622368,-0.7776714566627693,-0.8370677556160429,-0.2052225006278129,-0.4962458207199959,1.0784305367636746,0.8899873308003753,-0.7853845525430531,-0.8721203974713705,0.9969820856550276,0.9631001180852541,0.1371170487412197,-0.10059252660416218,0.2786922910387363,0.2757616872987482,1,Home,0,-0.6088678475395275,-0.6832088570919291,-0.6174018012364874,-0.6140566997199731,0.4695940830908839,0.3209493765207806,-0.49001895583242366,-0.696810573251341,0.5193312510515408,0.3066301944530515
