Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Dayne Beams,7.0,26.0,33.0,2.0,0.0,0.0,2.0,0.0,1.0,4.0,9.0,4.0,1.0,2.0,2.0,19.0,14.0,2600.4,78.8,0.0,0.0,2.0,0.0,7.0,3.0,5.0,85.0,6.0,7.0,0.0,82.0,0,Home,0,2.0,2.0,2.0,4.0,6.995999999999999
Daniel Rich,18.0,11.0,29.0,3.0,2.0,0.0,4.0,0.0,0.0,6.0,6.0,5.0,7.0,1.0,1.0,11.0,15.0,1800.9,62.1,0.0,0.0,5.0,0.0,2.0,4.0,8.0,701.0,7.0,6.0,1.0,83.0,0,Home,3,3.0,3.0,3.0,8.0,10.991
Dayne Zorko,16.0,8.0,24.0,6.0,1.0,0.0,5.0,0.0,2.0,5.0,3.0,4.0,3.0,2.0,2.0,10.0,16.0,1500.0,62.5,0.0,0.0,3.0,0.0,0.0,3.0,4.0,352.0,4.0,3.0,1.0,79.0,0,Home,0,6.0,6.0,4.0,2.0,9.0
Claye Beams,17.0,5.0,22.0,3.0,0.0,1.0,1.0,0.0,1.0,9.0,1.0,1.0,1.0,0.0,0.0,7.0,15.0,1100.0,50.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,567.0,4.0,8.0,0.0,79.0,0,Home,0,3.0,3.0,1.0,4.0,11.0
Jack Redden,11.0,9.0,20.0,4.0,0.0,0.0,5.0,1.0,0.0,2.0,6.0,2.0,1.0,3.0,2.0,10.0,13.0,1700.0,85.0,0.0,0.0,2.0,0.0,3.0,3.0,4.0,224.0,4.0,2.0,0.0,84.0,0,Home,0,4.0,4.0,5.0,4.0,3.0
Mitch Robinson,10.0,10.0,20.0,4.0,0.0,1.0,7.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,7.0,13.0,1300.0,65.0,0.0,1.0,1.0,0.0,0.0,3.0,5.0,337.0,3.0,1.0,2.0,83.0,0,Home,0,4.0,3.0,5.0,5.0,7.0
Lewis Taylor,8.0,11.0,19.0,3.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,4.0,1.0,1.0,1.0,10.0,10.0,1100.1,57.9,0.0,0.0,0.0,0.0,0.0,3.0,4.0,200.0,5.0,5.0,1.0,91.0,0,Home,0,3.0,3.0,4.0,4.0,7.9990000000000006
Tom Rockliff,13.0,5.0,18.0,6.0,0.0,0.0,3.0,0.0,0.0,5.0,3.0,2.0,2.0,0.0,0.0,4.0,14.0,900.0,50.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0,280.0,5.0,1.0,1.0,50.0,0,Home,0,6.0,6.0,2.0,5.0,9.0
Jed Adcock,10.0,7.0,17.0,4.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,8.0,1099.9,64.7,0.0,0.0,0.0,0.0,0.0,1.0,2.0,184.0,3.0,2.0,2.0,86.0,0,Home,0,4.0,4.0,1.0,2.0,6.0009999999999994
Allen Christensen,14.0,3.0,17.0,7.0,2.0,0.0,5.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,1.0,5.0,11.0,1300.5,76.5,1.0,1.0,1.0,0.0,2.0,1.0,4.0,253.0,1.0,0.0,1.0,70.0,0,Home,0,6.0,6.0,4.0,4.0,3.994999999999999
Marco Paparone,12.0,5.0,17.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,7.0,8.0,1400.8000000000002,82.4,2.0,0.0,4.0,0.0,0.0,0.0,2.0,340.0,4.0,8.0,0.0,87.0,0,Home,0,4.0,6.0,4.0,2.0,2.9919999999999973
Daniel Merrett,10.0,5.0,15.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,8.0,0.0,1.0,7.0,8.0,1300.5,86.7,1.0,0.0,9.0,0.0,0.0,1.0,2.0,279.0,3.0,6.0,0.0,93.0,0,Home,0,3.0,4.0,1.0,2.0,1.9949999999999992
Joshua Green,10.0,4.0,14.0,5.0,2.0,3.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,7.0,7.0,600.6,42.9,1.0,3.0,0.0,0.0,0.0,0.0,10.0,263.0,1.0,0.0,3.0,93.0,0,Home,0,4.0,2.0,0.0,9.0,7.994
Jaden McGrath,7.0,7.0,14.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,6.0,8.0,999.6000000000001,71.4,0.0,0.0,2.0,0.0,0.0,1.0,4.0,131.0,2.0,5.0,0.0,81.0,0,Home,0,5.0,5.0,2.0,4.0,4.003999999999998
Rohan Bewick,9.0,4.0,13.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,11.0,699.4,53.8,1.0,0.0,0.0,1.0,0.0,0.0,3.0,165.0,6.0,1.0,0.0,86.0,0,Home,0,2.0,3.0,2.0,3.0,6.006
Justin Clarke,7.0,6.0,13.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,2.0,8.0,5.0,1199.8999999999999,92.3,0.0,0.0,10.0,0.0,0.0,0.0,2.0,118.0,2.0,9.0,0.0,97.0,0,Home,0,4.0,4.0,1.0,2.0,1.0010000000000012
James Aish,7.0,6.0,13.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,1.0,4.0,8.0,899.6,69.2,0.0,0.0,1.0,0.0,0.0,0.0,2.0,131.0,2.0,3.0,0.0,80.0,0,Home,0,1.0,1.0,2.0,1.0,4.004
Stefan Martin,8.0,4.0,12.0,4.0,0.0,0.0,6.0,21.0,1.0,4.0,5.0,6.0,2.0,1.0,1.0,5.0,7.0,900.0,75.0,1.0,0.0,3.0,0.0,1.0,4.0,4.0,273.0,4.0,2.0,0.0,91.0,0,Home,0,3.0,4.0,6.0,3.0,3.0
Ryan Lester,7.0,4.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,2.0,2.0,9.0,799.7,72.7,0.0,1.0,2.0,0.0,0.0,0.0,2.0,128.0,3.0,3.0,0.0,91.0,0,Home,0,5.0,4.0,0.0,2.0,3.0029999999999992
Matthew Leuenberger,6.0,4.0,10.0,2.0,1.0,0.0,3.0,25.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,4.0,600.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,101.0,0.0,1.0,0.0,85.0,0,Home,0,2.0,0.0,3.0,3.0,4.0
Daniel McStay,4.0,5.0,9.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,4.0,600.3000000000001,66.7,1.0,1.0,1.0,0.0,0.0,0.0,3.0,52.0,1.0,0.0,0.0,91.0,0,Home,0,2.0,2.0,1.0,3.0,2.996999999999999
